
2020-11-22 02:59:33,246   ******************************************************
2020-11-22 02:59:33,247                     dlrm_s_pytorch.py                   
2020-11-22 02:59:33,247   args = Namespace(activation_function='relu', arch_embedding_size='4-3-2', arch_interaction_itself=False, arch_interaction_op='dot', arch_mlp_bot='13-1024-512-528-16', arch_mlp_top='1024-512-1', arch_sparse_feature_size=16, data_generation='dataset', data_randomize='total', data_set='kaggle', data_size=1, data_sub_sample_rate=0.0, data_trace_enable_padding=False, data_trace_file='./input/dist_emb_j.log', dataset_multiprocessing=False, debug_mode=False, debuglog='Horizon50p', enable_profiling=False, gpu_id='1', grow_embedding=False, growth_step=2, growth_stop_horizon=0.5, inference_only=False, initialization='zero', learning_rate=0.1, load_model='', loss_function='bce', loss_threshold=0.0, loss_weights='1.0-1.0', lr_decay_start_step=0, lr_num_decay_steps=0, lr_num_warmup_steps=0, max_ind_range=-1, md_flag=False, md_round_dims=False, md_temperature=0.3, md_threshold=200, memory_map=False, mini_batch_size=64, mlperf_acc_threshold=0.0, mlperf_auc_threshold=0.0, mlperf_bin_loader=False, mlperf_bin_shuffle=False, mlperf_logging=False, nepochs=1, num_batches=0, num_indices_per_lookup=10, num_indices_per_lookup_fixed=False, num_workers=0, numpy_rand_seed=123, plot_compute_graph=False, print_freq=1024, print_precision=5, print_time=False, processed_data_file='./input/kaggleAdDisplayChallenge_processed.npz', qr_collisions=4, qr_flag=False, qr_operation='mult', qr_threshold=200, raw_data_file='./input/train.txt', round_targets=True, save_model='', save_onnx=False, size_scale=1, sync_dense_params=True, test_freq=80000, test_mini_batch_size=16384, test_num_workers=-16, use_gpu=True)
2020-11-22 02:59:33,275   dataset kaggle #day 7
2020-11-22 02:59:33,275   Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
2020-11-22 03:00:01,212   Sparse fea = 26, Dense fea = 13
2020-11-22 03:00:01,299   Defined train indices...
2020-11-22 03:00:03,027   Randomized indices across days ...
2020-11-22 03:00:33,388   Split data according to indices...
2020-11-22 03:00:33,390   dataset kaggle #day 7
2020-11-22 03:00:33,390   Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
2020-11-22 03:01:01,437   Sparse fea = 26, Dense fea = 13
2020-11-22 03:01:01,523   Defined test indices...
2020-11-22 03:01:03,252   Randomized indices across days ...
2020-11-22 03:01:05,563   Split data according to indices...
2020-11-22 03:01:19,999   save_model to ./saved_model/model_FCparam2e+03K.pickle

2020-11-22 03:01:19,999   FC param size = 1720.61K, param size = 541.92M,  FLOP = 3441218.00K
2020-11-22 03:01:19,999   m_spa=16, ln_bot=[  13 1024  512  528   16], ln_top=[ 367 1024  512    1] 

2020-11-22 03:01:20,000   time/loss/accuracy (if enabled):
2020-11-22 03:01:20,000   Stage 0, This growth start from input index 0
2020-11-22 03:01:29,741   Finished training it 1024/613937 of epoch 0, -1.00 ms/it, loss 0.524535, accuracy 75.127 %,  lr = 0.100
2020-11-22 03:01:39,015   Finished training it 2048/613937 of epoch 0, -1.00 ms/it, loss 0.504288, accuracy 76.518 %,  lr = 0.100
2020-11-22 03:01:48,535   Finished training it 3072/613937 of epoch 0, -1.00 ms/it, loss 0.501893, accuracy 76.599 %,  lr = 0.100
2020-11-22 03:01:58,140   Finished training it 4096/613937 of epoch 0, -1.00 ms/it, loss 0.494624, accuracy 76.846 %,  lr = 0.100
2020-11-22 03:02:07,812   Finished training it 5120/613937 of epoch 0, -1.00 ms/it, loss 0.492503, accuracy 76.903 %,  lr = 0.100
2020-11-22 03:02:17,472   Finished training it 6144/613937 of epoch 0, -1.00 ms/it, loss 0.485821, accuracy 77.193 %,  lr = 0.100
2020-11-22 03:02:27,148   Finished training it 7168/613937 of epoch 0, -1.00 ms/it, loss 0.480310, accuracy 77.715 %,  lr = 0.100
2020-11-22 03:02:36,822   Finished training it 8192/613937 of epoch 0, -1.00 ms/it, loss 0.477478, accuracy 77.902 %,  lr = 0.100
2020-11-22 03:02:46,540   Finished training it 9216/613937 of epoch 0, -1.00 ms/it, loss 0.482429, accuracy 77.303 %,  lr = 0.100
2020-11-22 03:02:56,234   Finished training it 10240/613937 of epoch 0, -1.00 ms/it, loss 0.478338, accuracy 77.525 %,  lr = 0.100
2020-11-22 03:03:05,875   Finished training it 11264/613937 of epoch 0, -1.00 ms/it, loss 0.477115, accuracy 77.800 %,  lr = 0.100
2020-11-22 03:03:15,551   Finished training it 12288/613937 of epoch 0, -1.00 ms/it, loss 0.475889, accuracy 77.760 %,  lr = 0.100
2020-11-22 03:03:25,259   Finished training it 13312/613937 of epoch 0, -1.00 ms/it, loss 0.473262, accuracy 78.119 %,  lr = 0.100
2020-11-22 03:03:34,941   Finished training it 14336/613937 of epoch 0, -1.00 ms/it, loss 0.472359, accuracy 77.826 %,  lr = 0.100
2020-11-22 03:03:44,590   Finished training it 15360/613937 of epoch 0, -1.00 ms/it, loss 0.475883, accuracy 77.690 %,  lr = 0.100
2020-11-22 03:03:54,280   Finished training it 16384/613937 of epoch 0, -1.00 ms/it, loss 0.470670, accuracy 78.159 %,  lr = 0.100
2020-11-22 03:04:03,957   Finished training it 17408/613937 of epoch 0, -1.00 ms/it, loss 0.473152, accuracy 77.959 %,  lr = 0.100
2020-11-22 03:04:13,637   Finished training it 18432/613937 of epoch 0, -1.00 ms/it, loss 0.468812, accuracy 78.145 %,  lr = 0.100
2020-11-22 03:04:23,323   Finished training it 19456/613937 of epoch 0, -1.00 ms/it, loss 0.467907, accuracy 78.189 %,  lr = 0.100
2020-11-22 03:04:33,016   Finished training it 20480/613937 of epoch 0, -1.00 ms/it, loss 0.470866, accuracy 77.834 %,  lr = 0.100
2020-11-22 03:04:42,672   Finished training it 21504/613937 of epoch 0, -1.00 ms/it, loss 0.467423, accuracy 78.185 %,  lr = 0.100
2020-11-22 03:04:52,418   Finished training it 22528/613937 of epoch 0, -1.00 ms/it, loss 0.469096, accuracy 78.111 %,  lr = 0.100
2020-11-22 03:05:02,083   Finished training it 23552/613937 of epoch 0, -1.00 ms/it, loss 0.462026, accuracy 78.561 %,  lr = 0.100
2020-11-22 03:05:11,769   Finished training it 24576/613937 of epoch 0, -1.00 ms/it, loss 0.465853, accuracy 78.362 %,  lr = 0.100
2020-11-22 03:05:21,490   Finished training it 25600/613937 of epoch 0, -1.00 ms/it, loss 0.471342, accuracy 78.107 %,  lr = 0.100
2020-11-22 03:05:31,206   Finished training it 26624/613937 of epoch 0, -1.00 ms/it, loss 0.468383, accuracy 78.102 %,  lr = 0.100
2020-11-22 03:05:40,863   Finished training it 27648/613937 of epoch 0, -1.00 ms/it, loss 0.466017, accuracy 78.293 %,  lr = 0.100
2020-11-22 03:05:50,566   Finished training it 28672/613937 of epoch 0, -1.00 ms/it, loss 0.467009, accuracy 78.148 %,  lr = 0.100
2020-11-22 03:06:00,294   Finished training it 29696/613937 of epoch 0, -1.00 ms/it, loss 0.466861, accuracy 78.049 %,  lr = 0.100
2020-11-22 03:06:10,022   Finished training it 30720/613937 of epoch 0, -1.00 ms/it, loss 0.462923, accuracy 78.551 %,  lr = 0.100
2020-11-22 03:06:19,708   Finished training it 31744/613937 of epoch 0, -1.00 ms/it, loss 0.464344, accuracy 78.397 %,  lr = 0.100
2020-11-22 03:06:29,376   Finished training it 32768/613937 of epoch 0, -1.00 ms/it, loss 0.465460, accuracy 78.362 %,  lr = 0.100
2020-11-22 03:06:39,067   Finished training it 33792/613937 of epoch 0, -1.00 ms/it, loss 0.462508, accuracy 78.339 %,  lr = 0.100
2020-11-22 03:06:48,734   Finished training it 34816/613937 of epoch 0, -1.00 ms/it, loss 0.464190, accuracy 78.250 %,  lr = 0.100
2020-11-22 03:06:58,454   Finished training it 35840/613937 of epoch 0, -1.00 ms/it, loss 0.463572, accuracy 78.548 %,  lr = 0.100
2020-11-22 03:07:08,138   Finished training it 36864/613937 of epoch 0, -1.00 ms/it, loss 0.467669, accuracy 78.136 %,  lr = 0.100
2020-11-22 03:07:17,874   Finished training it 37888/613937 of epoch 0, -1.00 ms/it, loss 0.462902, accuracy 78.426 %,  lr = 0.100
2020-11-22 03:07:27,587   Finished training it 38912/613937 of epoch 0, -1.00 ms/it, loss 0.465227, accuracy 78.387 %,  lr = 0.100
2020-11-22 03:07:37,282   Finished training it 39936/613937 of epoch 0, -1.00 ms/it, loss 0.463977, accuracy 78.362 %,  lr = 0.100
2020-11-22 03:07:47,011   Finished training it 40960/613937 of epoch 0, -1.00 ms/it, loss 0.463990, accuracy 78.276 %,  lr = 0.100
2020-11-22 03:07:56,695   Finished training it 41984/613937 of epoch 0, -1.00 ms/it, loss 0.463009, accuracy 78.384 %,  lr = 0.100
2020-11-22 03:08:06,384   Finished training it 43008/613937 of epoch 0, -1.00 ms/it, loss 0.465730, accuracy 78.201 %,  lr = 0.100
2020-11-22 03:08:16,110   Finished training it 44032/613937 of epoch 0, -1.00 ms/it, loss 0.462906, accuracy 78.343 %,  lr = 0.100
2020-11-22 03:08:25,833   Finished training it 45056/613937 of epoch 0, -1.00 ms/it, loss 0.462822, accuracy 78.325 %,  lr = 0.100
2020-11-22 03:08:35,511   Finished training it 46080/613937 of epoch 0, -1.00 ms/it, loss 0.463740, accuracy 78.354 %,  lr = 0.100
2020-11-22 03:08:45,206   Finished training it 47104/613937 of epoch 0, -1.00 ms/it, loss 0.467727, accuracy 78.258 %,  lr = 0.100
2020-11-22 03:08:54,908   Finished training it 48128/613937 of epoch 0, -1.00 ms/it, loss 0.463102, accuracy 78.352 %,  lr = 0.100
2020-11-22 03:09:04,582   Finished training it 49152/613937 of epoch 0, -1.00 ms/it, loss 0.458372, accuracy 78.679 %,  lr = 0.100
2020-11-22 03:09:14,271   Finished training it 50176/613937 of epoch 0, -1.00 ms/it, loss 0.459881, accuracy 78.702 %,  lr = 0.100
2020-11-22 03:09:23,967   Finished training it 51200/613937 of epoch 0, -1.00 ms/it, loss 0.460217, accuracy 78.513 %,  lr = 0.100
2020-11-22 03:09:33,676   Finished training it 52224/613937 of epoch 0, -1.00 ms/it, loss 0.461947, accuracy 78.491 %,  lr = 0.100
2020-11-22 03:09:43,385   Finished training it 53248/613937 of epoch 0, -1.00 ms/it, loss 0.459370, accuracy 78.760 %,  lr = 0.100
2020-11-22 03:09:53,076   Finished training it 54272/613937 of epoch 0, -1.00 ms/it, loss 0.457258, accuracy 78.716 %,  lr = 0.100
2020-11-22 03:10:02,796   Finished training it 55296/613937 of epoch 0, -1.00 ms/it, loss 0.459535, accuracy 78.714 %,  lr = 0.100
2020-11-22 03:10:12,490   Finished training it 56320/613937 of epoch 0, -1.00 ms/it, loss 0.463419, accuracy 78.378 %,  lr = 0.100
2020-11-22 03:10:22,244   Finished training it 57344/613937 of epoch 0, -1.00 ms/it, loss 0.459059, accuracy 78.621 %,  lr = 0.100
2020-11-22 03:10:31,952   Finished training it 58368/613937 of epoch 0, -1.00 ms/it, loss 0.459861, accuracy 78.542 %,  lr = 0.100
2020-11-22 03:10:41,659   Finished training it 59392/613937 of epoch 0, -1.00 ms/it, loss 0.465297, accuracy 78.149 %,  lr = 0.100
2020-11-22 03:10:51,354   Finished training it 60416/613937 of epoch 0, -1.00 ms/it, loss 0.459425, accuracy 78.830 %,  lr = 0.100
2020-11-22 03:11:01,024   Finished training it 61440/613937 of epoch 0, -1.00 ms/it, loss 0.461778, accuracy 78.455 %,  lr = 0.100
2020-11-22 03:11:10,725   Finished training it 62464/613937 of epoch 0, -1.00 ms/it, loss 0.460525, accuracy 78.552 %,  lr = 0.100
2020-11-22 03:11:20,433   Finished training it 63488/613937 of epoch 0, -1.00 ms/it, loss 0.463455, accuracy 78.316 %,  lr = 0.100
2020-11-22 03:11:30,126   Finished training it 64512/613937 of epoch 0, -1.00 ms/it, loss 0.458959, accuracy 78.662 %,  lr = 0.100
2020-11-22 03:11:39,819   Finished training it 65536/613937 of epoch 0, -1.00 ms/it, loss 0.462903, accuracy 78.311 %,  lr = 0.100
2020-11-22 03:11:49,556   Finished training it 66560/613937 of epoch 0, -1.00 ms/it, loss 0.458752, accuracy 78.632 %,  lr = 0.100
2020-11-22 03:11:59,266   Finished training it 67584/613937 of epoch 0, -1.00 ms/it, loss 0.459313, accuracy 78.496 %,  lr = 0.100
2020-11-22 03:12:08,950   Finished training it 68608/613937 of epoch 0, -1.00 ms/it, loss 0.457004, accuracy 78.745 %,  lr = 0.100
2020-11-22 03:12:18,667   Finished training it 69632/613937 of epoch 0, -1.00 ms/it, loss 0.457663, accuracy 78.667 %,  lr = 0.100
2020-11-22 03:12:28,383   Finished training it 70656/613937 of epoch 0, -1.00 ms/it, loss 0.462350, accuracy 78.529 %,  lr = 0.100
2020-11-22 03:12:38,067   Finished training it 71680/613937 of epoch 0, -1.00 ms/it, loss 0.461050, accuracy 78.546 %,  lr = 0.100
2020-11-22 03:12:47,753   Finished training it 72704/613937 of epoch 0, -1.00 ms/it, loss 0.456063, accuracy 78.900 %,  lr = 0.100
2020-11-22 03:12:57,451   Finished training it 73728/613937 of epoch 0, -1.00 ms/it, loss 0.461102, accuracy 78.548 %,  lr = 0.100
2020-11-22 03:13:07,125   Finished training it 74752/613937 of epoch 0, -1.00 ms/it, loss 0.457783, accuracy 78.687 %,  lr = 0.100
2020-11-22 03:13:16,829   Finished training it 75776/613937 of epoch 0, -1.00 ms/it, loss 0.456863, accuracy 78.761 %,  lr = 0.100
2020-11-22 03:13:26,538   Finished training it 76800/613937 of epoch 0, -1.00 ms/it, loss 0.461100, accuracy 78.517 %,  lr = 0.100
2020-11-22 03:13:36,254   Finished training it 77824/613937 of epoch 0, -1.00 ms/it, loss 0.459407, accuracy 78.452 %,  lr = 0.100
2020-11-22 03:13:45,795   Finished training it 78848/613937 of epoch 0, -1.00 ms/it, loss 0.459860, accuracy 78.607 %,  lr = 0.100
2020-11-22 03:13:54,517   Finished training it 79872/613937 of epoch 0, -1.00 ms/it, loss 0.458214, accuracy 78.702 %,  lr = 0.100
