2020-11-23 15:26:26,159   ******************************************************
2020-11-23 15:26:26,159                     dlrm_s_pytorch.py                   
2020-11-23 15:26:26,159   args = Namespace(activation_function='relu', arch_embedding_size='4-3-2', arch_interaction_itself=False, arch_interaction_op='dot', arch_mlp_bot='13-1024-512-528-16', arch_mlp_top='1024-512-1', arch_sparse_feature_size=16, data_generation='dataset', data_randomize='total', data_set='kaggle', data_size=1, data_sub_sample_rate=0.0, data_trace_enable_padding=False, data_trace_file='./input/dist_emb_j.log', dataset_multiprocessing=False, debug_mode=False, debuglog='4step', enable_profiling=False, gpu_id='0', grow_embedding=False, growth_step=2, growth_stop_horizon=0.9, inference_only=False, initialization='zero', learning_rate=0.1, load_model='', loss_function='bce', loss_threshold=0.0, loss_weights='1.0-1.0', lr_decay_start_step=0, lr_num_decay_steps=0, lr_num_warmup_steps=0, max_ind_range=-1, md_flag=False, md_round_dims=False, md_temperature=0.3, md_threshold=200, memory_map=False, mini_batch_size=64, mlperf_acc_threshold=0.0, mlperf_auc_threshold=0.0, mlperf_bin_loader=False, mlperf_bin_shuffle=False, mlperf_logging=False, nepochs=1, num_batches=0, num_indices_per_lookup=10, num_indices_per_lookup_fixed=False, num_workers=0, numpy_rand_seed=123, plot_compute_graph=False, print_freq=1024, print_precision=5, print_time=False, processed_data_file='./input/kaggleAdDisplayChallenge_processed.npz', qr_collisions=4, qr_flag=False, qr_operation='mult', qr_threshold=200, raw_data_file='./input/train.txt', round_targets=True, save_model='', save_onnx=False, size_scale=1, sync_dense_params=True, test_freq=80000, test_mini_batch_size=16384, test_num_workers=-16, use_gpu=True)
2020-11-23 15:26:26,189   dataset kaggle #day 7
2020-11-23 15:26:26,189   Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
2020-11-23 15:26:54,097   Sparse fea = 26, Dense fea = 13
2020-11-23 15:26:54,183   Defined train indices...
2020-11-23 15:26:55,896   Randomized indices across days ...
2020-11-23 15:27:27,195   Split data according to indices...
2020-11-23 15:27:27,197   dataset kaggle #day 7
2020-11-23 15:27:27,197   Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
2020-11-23 15:27:55,463   Sparse fea = 26, Dense fea = 13
2020-11-23 15:27:55,760   Defined test indices...
2020-11-23 15:27:57,586   Randomized indices across days ...
2020-11-23 15:27:59,906   Split data according to indices...
2020-11-23 15:28:14,803   save_model to ./saved_model/model_FCparam2e+03K.pickle

2020-11-23 15:28:14,803   FC param size = 1720.61K, param size = 541.92M,  FLOP = 3441218.00K
2020-11-23 15:28:14,804   m_spa=16, ln_bot=[  13 1024  512  528   16], ln_top=[ 367 1024  512    1] 

2020-11-23 15:28:14,804   time/loss/accuracy (if enabled):
2020-11-23 15:28:14,805   Stage 0, This growth start from input index 0
2020-11-23 15:28:25,975   Finished training it 1024/613937 of epoch 0, -1.00 ms/it, loss 0.524586, accuracy 75.159 %,  lr = 0.100
2020-11-23 15:28:36,265   Finished training it 2048/613937 of epoch 0, -1.00 ms/it, loss 0.504251, accuracy 76.515 %,  lr = 0.100
2020-11-23 15:28:46,511   Finished training it 3072/613937 of epoch 0, -1.00 ms/it, loss 0.501771, accuracy 76.624 %,  lr = 0.100
2020-11-23 15:28:56,783   Finished training it 4096/613937 of epoch 0, -1.00 ms/it, loss 0.494488, accuracy 76.872 %,  lr = 0.100
2020-11-23 15:29:07,075   Finished training it 5120/613937 of epoch 0, -1.00 ms/it, loss 0.492323, accuracy 76.845 %,  lr = 0.100
2020-11-23 15:29:17,305   Finished training it 6144/613937 of epoch 0, -1.00 ms/it, loss 0.485677, accuracy 77.238 %,  lr = 0.100
2020-11-23 15:29:27,582   Finished training it 7168/613937 of epoch 0, -1.00 ms/it, loss 0.480347, accuracy 77.658 %,  lr = 0.100
2020-11-23 15:29:37,871   Finished training it 8192/613937 of epoch 0, -1.00 ms/it, loss 0.477481, accuracy 77.922 %,  lr = 0.100
2020-11-23 15:29:48,129   Finished training it 9216/613937 of epoch 0, -1.00 ms/it, loss 0.482370, accuracy 77.325 %,  lr = 0.100
2020-11-23 15:29:58,428   Finished training it 10240/613937 of epoch 0, -1.00 ms/it, loss 0.478294, accuracy 77.530 %,  lr = 0.100
2020-11-23 15:30:08,703   Finished training it 11264/613937 of epoch 0, -1.00 ms/it, loss 0.477349, accuracy 77.730 %,  lr = 0.100
2020-11-23 15:30:19,018   Finished training it 12288/613937 of epoch 0, -1.00 ms/it, loss 0.475886, accuracy 77.785 %,  lr = 0.100
2020-11-23 15:30:29,309   Finished training it 13312/613937 of epoch 0, -1.00 ms/it, loss 0.473293, accuracy 78.165 %,  lr = 0.100
2020-11-23 15:30:39,547   Finished training it 14336/613937 of epoch 0, -1.00 ms/it, loss 0.472527, accuracy 77.818 %,  lr = 0.100
2020-11-23 15:30:49,853   Finished training it 15360/613937 of epoch 0, -1.00 ms/it, loss 0.475909, accuracy 77.647 %,  lr = 0.100
2020-11-23 15:31:00,185   Finished training it 16384/613937 of epoch 0, -1.00 ms/it, loss 0.470812, accuracy 78.171 %,  lr = 0.100
2020-11-23 15:31:10,473   Finished training it 17408/613937 of epoch 0, -1.00 ms/it, loss 0.473251, accuracy 77.931 %,  lr = 0.100
2020-11-23 15:31:20,716   Finished training it 18432/613937 of epoch 0, -1.00 ms/it, loss 0.468990, accuracy 78.114 %,  lr = 0.100
2020-11-23 15:31:30,976   Finished training it 19456/613937 of epoch 0, -1.00 ms/it, loss 0.468094, accuracy 78.195 %,  lr = 0.100
2020-11-23 15:31:41,299   Finished training it 20480/613937 of epoch 0, -1.00 ms/it, loss 0.470869, accuracy 77.863 %,  lr = 0.100
2020-11-23 15:31:51,590   Finished training it 21504/613937 of epoch 0, -1.00 ms/it, loss 0.467576, accuracy 78.183 %,  lr = 0.100
