2020-11-27 20:49:24,458   ******************************************************
2020-11-27 20:49:24,458                     dlrm_s_pytorch.py                   
2020-11-27 20:49:24,458   args = Namespace(activation_function='relu', arch_embedding_size='4-3-2', arch_interaction_itself=False, arch_interaction_op='dot', arch_mlp_bot='13-1024-512-528-16', arch_mlp_top='1024-512-1', arch_sparse_feature_size=16, data_generation='dataset', data_randomize='total', data_set='kaggle', data_size=1, data_sub_sample_rate=0.0, data_trace_enable_padding=False, data_trace_file='./input/dist_emb_j.log', dataset_multiprocessing=False, debug_mode=False, debuglog='', enable_profiling=False, gpu_id='0', grow_embedding=False, growth_step=4, growth_stop_horizon=1.0, inference_only=False, initialization='zero', learning_rate=0.1, load_model='', loss_function='bce', loss_threshold=0.0, loss_weights='1.0-1.0', lr_decay_start_step=0, lr_num_decay_steps=0, lr_num_warmup_steps=0, max_ind_range=-1, md_flag=False, md_round_dims=False, md_temperature=0.3, md_threshold=200, memory_map=False, mini_batch_size=64, mlperf_acc_threshold=0.0, mlperf_auc_threshold=0.0, mlperf_bin_loader=False, mlperf_bin_shuffle=False, mlperf_logging=False, nepochs=1, num_batches=0, num_indices_per_lookup=10, num_indices_per_lookup_fixed=False, num_workers=0, numpy_rand_seed=123, plot_compute_graph=False, print_freq=1024, print_precision=5, print_time=False, processed_data_file='./input/kaggleAdDisplayChallenge_processed.npz', qr_collisions=4, qr_flag=False, qr_operation='mult', qr_threshold=200, raw_data_file='./input/train.txt', round_targets=True, save_model='', save_onnx=False, size_scale=1, sync_dense_params=True, test_freq=80000, test_mini_batch_size=16384, test_num_workers=-16, use_gpu=True)
2020-11-27 20:49:24,484   dataset kaggle #day 7
2020-11-27 20:49:24,485   Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
2020-11-27 20:49:52,597   Sparse fea = 26, Dense fea = 13
2020-11-27 20:49:52,684   Defined train indices...
2020-11-27 20:49:54,413   Randomized indices across days ...
2020-11-27 20:50:25,701   Split data according to indices...
2020-11-27 20:50:25,703   dataset kaggle #day 7
2020-11-27 20:50:25,703   Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
2020-11-27 20:50:53,823   Sparse fea = 26, Dense fea = 13
2020-11-27 20:50:53,910   Defined test indices...
2020-11-27 20:50:55,641   Randomized indices across days ...
2020-11-27 20:50:57,986   Split data according to indices...
2020-11-27 20:51:07,511   FC param size = 1720.61K, param size = 541.92M,  FLOP = 3441218.00K
2020-11-27 20:51:07,511   m_spa=16, ln_bot=[  13 1024  512  528   16], ln_top=[ 367 1024  512    1] 

2020-11-27 20:51:07,511   time/loss/accuracy (if enabled):
2020-11-27 20:51:07,512   Stage 0, This growth start from input index 0
2020-11-27 20:51:19,670   Finished training it 1024/613937 of epoch 0, -1.00 ms/it, loss 0.524678, accuracy 75.143 %,  lr = 0.100
2020-11-27 20:51:29,942   Finished training it 2048/613937 of epoch 0, -1.00 ms/it, loss 0.504076, accuracy 76.509 %,  lr = 0.100
2020-11-27 20:51:40,171   Finished training it 3072/613937 of epoch 0, -1.00 ms/it, loss 0.501530, accuracy 76.636 %,  lr = 0.100
2020-11-27 20:51:50,364   Finished training it 4096/613937 of epoch 0, -1.00 ms/it, loss 0.494216, accuracy 76.888 %,  lr = 0.100
2020-11-27 20:52:00,658   Finished training it 5120/613937 of epoch 0, -1.00 ms/it, loss 0.492121, accuracy 76.883 %,  lr = 0.100
2020-11-27 20:52:10,924   Finished training it 6144/613937 of epoch 0, -1.00 ms/it, loss 0.485598, accuracy 77.179 %,  lr = 0.100
2020-11-27 20:52:21,128   Finished training it 7168/613937 of epoch 0, -1.00 ms/it, loss 0.480180, accuracy 77.719 %,  lr = 0.100
2020-11-27 20:52:31,355   Finished training it 8192/613937 of epoch 0, -1.00 ms/it, loss 0.477319, accuracy 77.919 %,  lr = 0.100
2020-11-27 20:52:41,653   Finished training it 9216/613937 of epoch 0, -1.00 ms/it, loss 0.482340, accuracy 77.318 %,  lr = 0.100
2020-11-27 20:52:51,950   Finished training it 10240/613937 of epoch 0, -1.00 ms/it, loss 0.478301, accuracy 77.531 %,  lr = 0.100
2020-11-27 20:53:02,215   Finished training it 11264/613937 of epoch 0, -1.00 ms/it, loss 0.477200, accuracy 77.797 %,  lr = 0.100
2020-11-27 20:53:12,439   Finished training it 12288/613937 of epoch 0, -1.00 ms/it, loss 0.475721, accuracy 77.789 %,  lr = 0.100
2020-11-27 20:53:22,672   Finished training it 13312/613937 of epoch 0, -1.00 ms/it, loss 0.473254, accuracy 78.146 %,  lr = 0.100
2020-11-27 20:53:32,947   Finished training it 14336/613937 of epoch 0, -1.00 ms/it, loss 0.472519, accuracy 77.817 %,  lr = 0.100
2020-11-27 20:53:43,187   Finished training it 15360/613937 of epoch 0, -1.00 ms/it, loss 0.475958, accuracy 77.708 %,  lr = 0.100
2020-11-27 20:53:53,465   Finished training it 16384/613937 of epoch 0, -1.00 ms/it, loss 0.470889, accuracy 78.145 %,  lr = 0.100
2020-11-27 20:54:03,732   Finished training it 17408/613937 of epoch 0, -1.00 ms/it, loss 0.473268, accuracy 77.957 %,  lr = 0.100
2020-11-27 20:54:13,171   Finished training it 18432/613937 of epoch 0, -1.00 ms/it, loss 0.468967, accuracy 78.152 %,  lr = 0.100
2020-11-27 20:54:23,419   Finished training it 19456/613937 of epoch 0, -1.00 ms/it, loss 0.468067, accuracy 78.128 %,  lr = 0.100
2020-11-27 20:54:33,701   Finished training it 20480/613937 of epoch 0, -1.00 ms/it, loss 0.470977, accuracy 77.808 %,  lr = 0.100
2020-11-27 20:54:43,988   Finished training it 21504/613937 of epoch 0, -1.00 ms/it, loss 0.467638, accuracy 78.226 %,  lr = 0.100
2020-11-27 20:54:54,183   Finished training it 22528/613937 of epoch 0, -1.00 ms/it, loss 0.469316, accuracy 78.070 %,  lr = 0.100
2020-11-27 20:55:04,439   Finished training it 23552/613937 of epoch 0, -1.00 ms/it, loss 0.462237, accuracy 78.514 %,  lr = 0.100
2020-11-27 20:55:13,768   Finished training it 24576/613937 of epoch 0, -1.00 ms/it, loss 0.466078, accuracy 78.380 %,  lr = 0.100
2020-11-27 20:55:24,012   Finished training it 25600/613937 of epoch 0, -1.00 ms/it, loss 0.471348, accuracy 78.087 %,  lr = 0.100
2020-11-27 20:55:34,227   Finished training it 26624/613937 of epoch 0, -1.00 ms/it, loss 0.468601, accuracy 78.082 %,  lr = 0.100
2020-11-27 20:55:44,443   Finished training it 27648/613937 of epoch 0, -1.00 ms/it, loss 0.466096, accuracy 78.259 %,  lr = 0.100
2020-11-27 20:55:54,728   Finished training it 28672/613937 of epoch 0, -1.00 ms/it, loss 0.467389, accuracy 78.137 %,  lr = 0.100
2020-11-27 20:56:04,927   Finished training it 29696/613937 of epoch 0, -1.00 ms/it, loss 0.466972, accuracy 78.038 %,  lr = 0.100
2020-11-27 20:56:15,077   Finished training it 30720/613937 of epoch 0, -1.00 ms/it, loss 0.463250, accuracy 78.532 %,  lr = 0.100
2020-11-27 20:56:25,335   Finished training it 31744/613937 of epoch 0, -1.00 ms/it, loss 0.464811, accuracy 78.397 %,  lr = 0.100
2020-11-27 20:56:35,611   Finished training it 32768/613937 of epoch 0, -1.00 ms/it, loss 0.465671, accuracy 78.339 %,  lr = 0.100
2020-11-27 20:56:45,836   Finished training it 33792/613937 of epoch 0, -1.00 ms/it, loss 0.462524, accuracy 78.325 %,  lr = 0.100
2020-11-27 20:56:56,076   Finished training it 34816/613937 of epoch 0, -1.00 ms/it, loss 0.464488, accuracy 78.299 %,  lr = 0.100
2020-11-27 20:57:06,353   Finished training it 35840/613937 of epoch 0, -1.00 ms/it, loss 0.463881, accuracy 78.516 %,  lr = 0.100
2020-11-27 20:57:16,831   Finished training it 36864/613937 of epoch 0, -1.00 ms/it, loss 0.467780, accuracy 78.159 %,  lr = 0.100
2020-11-27 20:57:27,162   Finished training it 37888/613937 of epoch 0, -1.00 ms/it, loss 0.463089, accuracy 78.448 %,  lr = 0.100
2020-11-27 20:57:37,369   Finished training it 38912/613937 of epoch 0, -1.00 ms/it, loss 0.465512, accuracy 78.375 %,  lr = 0.100
2020-11-27 20:57:47,589   Finished training it 39936/613937 of epoch 0, -1.00 ms/it, loss 0.464225, accuracy 78.357 %,  lr = 0.100
2020-11-27 20:57:57,826   Finished training it 40960/613937 of epoch 0, -1.00 ms/it, loss 0.464137, accuracy 78.261 %,  lr = 0.100
2020-11-27 20:58:08,107   Finished training it 41984/613937 of epoch 0, -1.00 ms/it, loss 0.463073, accuracy 78.391 %,  lr = 0.100
2020-11-27 20:58:18,400   Finished training it 43008/613937 of epoch 0, -1.00 ms/it, loss 0.465862, accuracy 78.178 %,  lr = 0.100
2020-11-27 20:58:28,581   Finished training it 44032/613937 of epoch 0, -1.00 ms/it, loss 0.463144, accuracy 78.323 %,  lr = 0.100
2020-11-27 20:58:38,365   Finished training it 45056/613937 of epoch 0, -1.00 ms/it, loss 0.463059, accuracy 78.322 %,  lr = 0.100
2020-11-27 20:58:46,760   Finished training it 46080/613937 of epoch 0, -1.00 ms/it, loss 0.464067, accuracy 78.345 %,  lr = 0.100
2020-11-27 20:58:55,551   Finished training it 47104/613937 of epoch 0, -1.00 ms/it, loss 0.467830, accuracy 78.271 %,  lr = 0.100
2020-11-27 20:59:04,175   Finished training it 48128/613937 of epoch 0, -1.00 ms/it, loss 0.463343, accuracy 78.365 %,  lr = 0.100
2020-11-27 20:59:12,737   Finished training it 49152/613937 of epoch 0, -1.00 ms/it, loss 0.458664, accuracy 78.627 %,  lr = 0.100
2020-11-27 20:59:21,312   Finished training it 50176/613937 of epoch 0, -1.00 ms/it, loss 0.459991, accuracy 78.712 %,  lr = 0.100
2020-11-27 20:59:30,795   Finished training it 51200/613937 of epoch 0, -1.00 ms/it, loss 0.460460, accuracy 78.447 %,  lr = 0.100
2020-11-27 20:59:40,682   Finished training it 52224/613937 of epoch 0, -1.00 ms/it, loss 0.462182, accuracy 78.499 %,  lr = 0.100
2020-11-27 20:59:49,750   Finished training it 53248/613937 of epoch 0, -1.00 ms/it, loss 0.459560, accuracy 78.766 %,  lr = 0.100
2020-11-27 20:59:59,693   Finished training it 54272/613937 of epoch 0, -1.00 ms/it, loss 0.457321, accuracy 78.699 %,  lr = 0.100
2020-11-27 21:00:08,754   Finished training it 55296/613937 of epoch 0, -1.00 ms/it, loss 0.459409, accuracy 78.773 %,  lr = 0.100
2020-11-27 21:00:18,450   Finished training it 56320/613937 of epoch 0, -1.00 ms/it, loss 0.463428, accuracy 78.384 %,  lr = 0.100
2020-11-27 21:00:28,674   Finished training it 57344/613937 of epoch 0, -1.00 ms/it, loss 0.459032, accuracy 78.619 %,  lr = 0.100
2020-11-27 21:00:38,921   Finished training it 58368/613937 of epoch 0, -1.00 ms/it, loss 0.460041, accuracy 78.552 %,  lr = 0.100
2020-11-27 21:00:49,193   Finished training it 59392/613937 of epoch 0, -1.00 ms/it, loss 0.465328, accuracy 78.117 %,  lr = 0.100
2020-11-27 21:00:59,445   Finished training it 60416/613937 of epoch 0, -1.00 ms/it, loss 0.459547, accuracy 78.766 %,  lr = 0.100
2020-11-27 21:01:09,648   Finished training it 61440/613937 of epoch 0, -1.00 ms/it, loss 0.461840, accuracy 78.432 %,  lr = 0.100
2020-11-27 21:01:19,602   Finished training it 62464/613937 of epoch 0, -1.00 ms/it, loss 0.460666, accuracy 78.563 %,  lr = 0.100
2020-11-27 21:01:29,883   Finished training it 63488/613937 of epoch 0, -1.00 ms/it, loss 0.463597, accuracy 78.270 %,  lr = 0.100
2020-11-27 21:01:40,120   Finished training it 64512/613937 of epoch 0, -1.00 ms/it, loss 0.458999, accuracy 78.629 %,  lr = 0.100
2020-11-27 21:01:50,348   Finished training it 65536/613937 of epoch 0, -1.00 ms/it, loss 0.462897, accuracy 78.352 %,  lr = 0.100
2020-11-27 21:02:00,576   Finished training it 66560/613937 of epoch 0, -1.00 ms/it, loss 0.458921, accuracy 78.662 %,  lr = 0.100
2020-11-27 21:02:10,834   Finished training it 67584/613937 of epoch 0, -1.00 ms/it, loss 0.459503, accuracy 78.459 %,  lr = 0.100
2020-11-27 21:02:21,042   Finished training it 68608/613937 of epoch 0, -1.00 ms/it, loss 0.456963, accuracy 78.700 %,  lr = 0.100
2020-11-27 21:02:31,239   Finished training it 69632/613937 of epoch 0, -1.00 ms/it, loss 0.457896, accuracy 78.650 %,  lr = 0.100
2020-11-27 21:02:41,482   Finished training it 70656/613937 of epoch 0, -1.00 ms/it, loss 0.462640, accuracy 78.499 %,  lr = 0.100
2020-11-27 21:02:51,694   Finished training it 71680/613937 of epoch 0, -1.00 ms/it, loss 0.461134, accuracy 78.499 %,  lr = 0.100
2020-11-27 21:03:01,941   Finished training it 72704/613937 of epoch 0, -1.00 ms/it, loss 0.456237, accuracy 78.876 %,  lr = 0.100
2020-11-27 21:03:11,840   Finished training it 73728/613937 of epoch 0, -1.00 ms/it, loss 0.461157, accuracy 78.470 %,  lr = 0.100
2020-11-27 21:03:20,625   Finished training it 74752/613937 of epoch 0, -1.00 ms/it, loss 0.458065, accuracy 78.665 %,  lr = 0.100
2020-11-27 21:03:30,881   Finished training it 75776/613937 of epoch 0, -1.00 ms/it, loss 0.456791, accuracy 78.778 %,  lr = 0.100
2020-11-27 21:03:41,144   Finished training it 76800/613937 of epoch 0, -1.00 ms/it, loss 0.461336, accuracy 78.461 %,  lr = 0.100
2020-11-27 21:03:51,354   Finished training it 77824/613937 of epoch 0, -1.00 ms/it, loss 0.459786, accuracy 78.404 %,  lr = 0.100
2020-11-27 21:04:01,571   Finished training it 78848/613937 of epoch 0, -1.00 ms/it, loss 0.460076, accuracy 78.635 %,  lr = 0.100
2020-11-27 21:04:11,807   Finished training it 79872/613937 of epoch 0, -1.00 ms/it, loss 0.458265, accuracy 78.702 %,  lr = 0.100
2020-11-27 21:04:13,091   Finished training it 80000/613937 of epoch 0, -1.00 ms/it, loss 0.454999, accuracy 78.687 %,  lr = 0.100
