2020-11-21 00:32:55,140   ******************************************************
2020-11-21 00:32:55,140                     dlrm_s_pytorch.py                   
2020-11-21 00:32:55,140   args = Namespace(activation_function='relu', arch_embedding_size='4-3-2', arch_interaction_itself=False, arch_interaction_op='dot', arch_mlp_bot='13-128-64-66-16', arch_mlp_top='128-64-1', arch_sparse_feature_size=16, data_generation='dataset', data_randomize='total', data_set='kaggle', data_size=1, data_sub_sample_rate=0.0, data_trace_enable_padding=False, data_trace_file='./input/dist_emb_j.log', dataset_multiprocessing=False, debug_mode=False, enable_profiling=False, gpu_id='1', grow_embedding=False, growth_step=0, growth_stop_horizon=0.1, inference_only=False, initialization='zero', learning_rate=0.1, load_model='', loss_function='bce', loss_threshold=0.0, loss_weights='1.0-1.0', lr_decay_start_step=0, lr_num_decay_steps=0, lr_num_warmup_steps=0, max_ind_range=-1, md_flag=False, md_round_dims=False, md_temperature=0.3, md_threshold=200, memory_map=False, mini_batch_size=64, mlperf_acc_threshold=0.0, mlperf_auc_threshold=0.0, mlperf_bin_loader=False, mlperf_bin_shuffle=False, mlperf_logging=False, nepochs=1, num_batches=0, num_indices_per_lookup=10, num_indices_per_lookup_fixed=False, num_workers=0, numpy_rand_seed=123, plot_compute_graph=False, print_freq=1024, print_precision=5, print_time=False, processed_data_file='./input/kaggleAdDisplayChallenge_processed.npz', qr_collisions=4, qr_flag=False, qr_operation='mult', qr_threshold=200, raw_data_file='./input/train.txt', round_targets=True, save_model='', save_onnx=False, size_scale=1, sync_dense_params=True, test_freq=80000, test_mini_batch_size=16384, test_num_workers=-16, use_gpu=True)
2020-11-21 00:32:55,151   dataset kaggle #day 1
2020-11-21 00:32:55,151   Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
2020-11-21 00:33:22,959   Sparse fea = 26, Dense fea = 13
2020-11-21 00:33:23,014   Defined train indices...
2020-11-21 00:33:23,224   Randomized indices across days ...
2020-11-21 00:33:28,243   Split data according to indices...
2020-11-21 00:33:28,245   dataset kaggle #day 1
2020-11-21 00:33:28,245   Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
2020-11-21 00:33:56,058   Sparse fea = 26, Dense fea = 13
2020-11-21 00:33:56,113   Defined test indices...
2020-11-21 00:33:56,325   Randomized indices across days ...
2020-11-21 00:34:10,277   Split data according to indices...
2020-11-21 00:34:24,332   save_model to ./saved_model/model_FCparam7e+01K.pickle

2020-11-21 00:34:24,332   FC param size = 70.83K, param size = 540.27M,  FLOP = 141670.00K
2020-11-21 00:34:24,332   m_spa=16, ln_bot=[ 13 128  64  66  16], ln_top=[367 128  64   1] 

2020-11-21 00:34:24,333   time/loss/accuracy (if enabled):
2020-11-21 00:34:33,473   Finished training it 1024/102323 of epoch 0, -1.00 ms/it, loss 0.513967, accuracy 76.021 %,  lr = 0.100
2020-11-21 00:34:42,035   Finished training it 2048/102323 of epoch 0, -1.00 ms/it, loss 0.498034, accuracy 77.010 %,  lr = 0.100
2020-11-21 00:34:50,594   Finished training it 3072/102323 of epoch 0, -1.00 ms/it, loss 0.494771, accuracy 76.993 %,  lr = 0.100
2020-11-21 00:34:59,176   Finished training it 4096/102323 of epoch 0, -1.00 ms/it, loss 0.485915, accuracy 77.672 %,  lr = 0.100
2020-11-21 00:35:07,732   Finished training it 5120/102323 of epoch 0, -1.00 ms/it, loss 0.485474, accuracy 77.461 %,  lr = 0.100
2020-11-21 00:35:16,290   Finished training it 6144/102323 of epoch 0, -1.00 ms/it, loss 0.483388, accuracy 77.757 %,  lr = 0.100
2020-11-21 00:35:24,840   Finished training it 7168/102323 of epoch 0, -1.00 ms/it, loss 0.478502, accuracy 77.818 %,  lr = 0.100
2020-11-21 00:35:33,368   Finished training it 8192/102323 of epoch 0, -1.00 ms/it, loss 0.475817, accuracy 78.056 %,  lr = 0.100
2020-11-21 00:35:41,922   Finished training it 9216/102323 of epoch 0, -1.00 ms/it, loss 0.479137, accuracy 77.736 %,  lr = 0.100
2020-11-21 00:35:50,471   Finished training it 10240/102323 of epoch 0, -1.00 ms/it, loss 0.470813, accuracy 78.210 %,  lr = 0.100
2020-11-21 00:35:59,023   Finished training it 11264/102323 of epoch 0, -1.00 ms/it, loss 0.475123, accuracy 77.972 %,  lr = 0.100
2020-11-21 00:36:07,602   Finished training it 12288/102323 of epoch 0, -1.00 ms/it, loss 0.469795, accuracy 78.226 %,  lr = 0.100
2020-11-21 00:36:16,176   Finished training it 13312/102323 of epoch 0, -1.00 ms/it, loss 0.467013, accuracy 78.360 %,  lr = 0.100
2020-11-21 00:36:24,702   Finished training it 14336/102323 of epoch 0, -1.00 ms/it, loss 0.470600, accuracy 78.226 %,  lr = 0.100
2020-11-21 00:36:33,249   Finished training it 15360/102323 of epoch 0, -1.00 ms/it, loss 0.468083, accuracy 78.246 %,  lr = 0.100
2020-11-21 00:36:41,806   Finished training it 16384/102323 of epoch 0, -1.00 ms/it, loss 0.462521, accuracy 78.676 %,  lr = 0.100
2020-11-21 00:36:50,348   Finished training it 17408/102323 of epoch 0, -1.00 ms/it, loss 0.465702, accuracy 78.416 %,  lr = 0.100
2020-11-21 00:36:58,895   Finished training it 18432/102323 of epoch 0, -1.00 ms/it, loss 0.462264, accuracy 78.633 %,  lr = 0.100
2020-11-21 00:37:07,434   Finished training it 19456/102323 of epoch 0, -1.00 ms/it, loss 0.466610, accuracy 78.355 %,  lr = 0.100
2020-11-21 00:37:15,991   Finished training it 20480/102323 of epoch 0, -1.00 ms/it, loss 0.469014, accuracy 78.128 %,  lr = 0.100
