2020-11-27 23:45:28,066   ******************************************************
2020-11-27 23:45:28,066                     dlrm_s_pytorch.py                   
2020-11-27 23:45:28,066   args = Namespace(activation_function='relu', arch_embedding_size='4-3-2', arch_interaction_itself=False, arch_interaction_op='dot', arch_mlp_bot='13-2048-1024-1056-16', arch_mlp_top='2048-1024-1', arch_sparse_feature_size=16, data_generation='dataset', data_randomize='total', data_set='kaggle', data_size=1, data_sub_sample_rate=0.0, data_trace_enable_padding=False, data_trace_file='./input/dist_emb_j.log', dataset_multiprocessing=False, debug_mode=False, debuglog='', enable_profiling=False, gpu_id='1', grow_embedding=False, growth_step=0, growth_stop_horizon=1.0, inference_only=False, initialization='zero', learning_rate=0.1, load_model='', loss_function='bce', loss_threshold=0.0, loss_weights='1.0-1.0', lr_decay_start_step=0, lr_num_decay_steps=0, lr_num_warmup_steps=0, max_ind_range=-1, md_flag=False, md_round_dims=False, md_temperature=0.3, md_threshold=200, memory_map=False, mini_batch_size=64, mlperf_acc_threshold=0.0, mlperf_auc_threshold=0.0, mlperf_bin_loader=False, mlperf_bin_shuffle=False, mlperf_logging=False, nepochs=1, num_batches=0, num_indices_per_lookup=10, num_indices_per_lookup_fixed=False, num_workers=0, numpy_rand_seed=123, plot_compute_graph=False, print_freq=1024, print_precision=5, print_time=False, processed_data_file='./input/kaggleAdDisplayChallenge_processed.npz', qr_collisions=4, qr_flag=False, qr_operation='mult', qr_threshold=200, raw_data_file='./input/train.txt', round_targets=True, save_model='', save_onnx=False, size_scale=1, sync_dense_params=True, test_freq=80000, test_mini_batch_size=16384, test_num_workers=-16, use_gpu=True)
2020-11-27 23:45:28,092   dataset kaggle #day 7
2020-11-27 23:45:28,092   Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
2020-11-27 23:45:56,254   Sparse fea = 26, Dense fea = 13
2020-11-27 23:45:56,343   Defined train indices...
2020-11-27 23:45:58,081   Randomized indices across days ...
2020-11-27 23:46:29,554   Split data according to indices...
2020-11-27 23:46:29,555   dataset kaggle #day 7
2020-11-27 23:46:29,556   Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
2020-11-27 23:46:57,713   Sparse fea = 26, Dense fea = 13
2020-11-27 23:46:57,799   Defined test indices...
2020-11-27 23:46:59,530   Randomized indices across days ...
2020-11-27 23:47:01,838   Split data according to indices...
2020-11-27 23:47:13,148   FC param size = 6079.03K, param size = 546.28M,  FLOP = 12158050.00K
2020-11-27 23:47:13,148   m_spa=16, ln_bot=[  13 2048 1024 1056   16], ln_top=[ 367 2048 1024    1] 

2020-11-27 23:47:13,148   time/loss/accuracy (if enabled):
2020-11-27 23:47:25,059   Finished training it 1024/613937 of epoch 0, -1.00 ms/it, loss 0.524956, accuracy 75.063 %,  lr = 0.100
2020-11-27 23:47:35,663   Finished training it 2048/613937 of epoch 0, -1.00 ms/it, loss 0.505244, accuracy 76.512 %,  lr = 0.100
2020-11-27 23:47:46,213   Finished training it 3072/613937 of epoch 0, -1.00 ms/it, loss 0.503715, accuracy 76.442 %,  lr = 0.100
2020-11-27 23:47:56,127   Finished training it 4096/613937 of epoch 0, -1.00 ms/it, loss 0.497783, accuracy 76.694 %,  lr = 0.100
2020-11-27 23:48:06,870   Finished training it 5120/613937 of epoch 0, -1.00 ms/it, loss 0.496706, accuracy 76.801 %,  lr = 0.100
2020-11-27 23:48:17,479   Finished training it 6144/613937 of epoch 0, -1.00 ms/it, loss 0.489854, accuracy 77.129 %,  lr = 0.100
2020-11-27 23:48:28,361   Finished training it 7168/613937 of epoch 0, -1.00 ms/it, loss 0.482965, accuracy 77.567 %,  lr = 0.100
2020-11-27 23:48:38,853   Finished training it 8192/613937 of epoch 0, -1.00 ms/it, loss 0.479870, accuracy 77.788 %,  lr = 0.100
2020-11-27 23:48:49,488   Finished training it 9216/613937 of epoch 0, -1.00 ms/it, loss 0.484312, accuracy 77.255 %,  lr = 0.100
2020-11-27 23:48:59,325   Finished training it 10240/613937 of epoch 0, -1.00 ms/it, loss 0.479900, accuracy 77.457 %,  lr = 0.100
2020-11-27 23:49:08,936   Finished training it 11264/613937 of epoch 0, -1.00 ms/it, loss 0.478371, accuracy 77.670 %,  lr = 0.100
2020-11-27 23:49:19,639   Finished training it 12288/613937 of epoch 0, -1.00 ms/it, loss 0.476727, accuracy 77.774 %,  lr = 0.100
2020-11-27 23:49:30,281   Finished training it 13312/613937 of epoch 0, -1.00 ms/it, loss 0.474271, accuracy 78.085 %,  lr = 0.100
2020-11-27 23:49:40,711   Finished training it 14336/613937 of epoch 0, -1.00 ms/it, loss 0.473168, accuracy 77.853 %,  lr = 0.100
2020-11-27 23:49:51,105   Finished training it 15360/613937 of epoch 0, -1.00 ms/it, loss 0.476577, accuracy 77.650 %,  lr = 0.100
2020-11-27 23:50:01,013   Finished training it 16384/613937 of epoch 0, -1.00 ms/it, loss 0.471369, accuracy 78.119 %,  lr = 0.100
2020-11-27 23:50:10,288   Finished training it 17408/613937 of epoch 0, -1.00 ms/it, loss 0.473457, accuracy 78.008 %,  lr = 0.100
2020-11-27 23:50:20,168   Finished training it 18432/613937 of epoch 0, -1.00 ms/it, loss 0.468979, accuracy 78.108 %,  lr = 0.100
2020-11-27 23:50:30,962   Finished training it 19456/613937 of epoch 0, -1.00 ms/it, loss 0.468230, accuracy 78.143 %,  lr = 0.100
2020-11-27 23:50:41,557   Finished training it 20480/613937 of epoch 0, -1.00 ms/it, loss 0.471299, accuracy 77.847 %,  lr = 0.100
