2020-11-22 12:45:20,060   ******************************************************
2020-11-22 12:45:20,060                     dlrm_s_pytorch.py                   
2020-11-22 12:45:20,061   args = Namespace(activation_function='relu', arch_embedding_size='4-3-2', arch_interaction_itself=False, arch_interaction_op='dot', arch_mlp_bot='13-3072-1536-1584-16', arch_mlp_top='3072-1536-1', arch_sparse_feature_size=16, data_generation='dataset', data_randomize='total', data_set='kaggle', data_size=1, data_sub_sample_rate=0.0, data_trace_enable_padding=False, data_trace_file='./input/dist_emb_j.log', dataset_multiprocessing=False, debug_mode=False, debuglog='', enable_profiling=False, gpu_id='1', grow_embedding=False, growth_step=0, growth_stop_horizon=0.5, inference_only=False, initialization='zero', learning_rate=0.1, load_model='', loss_function='bce', loss_threshold=0.0, loss_weights='1.0-1.0', lr_decay_start_step=0, lr_num_decay_steps=0, lr_num_warmup_steps=0, max_ind_range=-1, md_flag=False, md_round_dims=False, md_temperature=0.3, md_threshold=200, memory_map=False, mini_batch_size=64, mlperf_acc_threshold=0.0, mlperf_auc_threshold=0.0, mlperf_bin_loader=False, mlperf_bin_shuffle=False, mlperf_logging=False, nepochs=1, num_batches=0, num_indices_per_lookup=10, num_indices_per_lookup_fixed=False, num_workers=0, numpy_rand_seed=123, plot_compute_graph=False, print_freq=1024, print_precision=5, print_time=False, processed_data_file='./input/kaggleAdDisplayChallenge_processed.npz', qr_collisions=4, qr_flag=False, qr_operation='mult', qr_threshold=200, raw_data_file='./input/train.txt', round_targets=True, save_model='', save_onnx=False, size_scale=1, sync_dense_params=True, test_freq=80000, test_mini_batch_size=16384, test_num_workers=-16, use_gpu=True)
2020-11-22 12:45:20,071   dataset kaggle #day 7
2020-11-22 12:45:20,071   Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
2020-11-22 12:46:10,512   Sparse fea = 26, Dense fea = 13
2020-11-22 12:46:10,969   Defined train indices...
2020-11-22 12:46:13,319   Randomized indices across days ...
2020-11-22 12:46:46,318   Split data according to indices...
2020-11-22 12:46:46,340   dataset kaggle #day 7
2020-11-22 12:46:46,340   Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
2020-11-22 12:47:29,659   Sparse fea = 26, Dense fea = 13
2020-11-22 12:47:30,404   Defined test indices...
2020-11-22 12:47:32,620   Randomized indices across days ...
2020-11-22 12:47:35,266   Split data according to indices...
2020-11-22 12:47:58,744   save_model to ./saved_model/model_FCparam1e+04K.pickle

2020-11-22 12:47:58,744   FC param size = 13075.26K, param size = 553.28M,  FLOP = 26150530.00K
2020-11-22 12:47:58,744   m_spa=16, ln_bot=[  13 3072 1536 1584   16], ln_top=[ 367 3072 1536    1] 

2020-11-22 12:47:58,745   time/loss/accuracy (if enabled):
2020-11-22 12:48:27,022   Finished training it 1024/613937 of epoch 0, -1.00 ms/it, loss 0.525534, accuracy 75.128 %,  lr = 0.100
2020-11-22 12:48:55,035   Finished training it 2048/613937 of epoch 0, -1.00 ms/it, loss 0.505135, accuracy 76.459 %,  lr = 0.100
2020-11-22 12:49:22,524   Finished training it 3072/613937 of epoch 0, -1.00 ms/it, loss 0.504361, accuracy 76.413 %,  lr = 0.100
2020-11-22 12:49:49,946   Finished training it 4096/613937 of epoch 0, -1.00 ms/it, loss 0.497698, accuracy 76.712 %,  lr = 0.100
2020-11-22 12:50:17,866   Finished training it 5120/613937 of epoch 0, -1.00 ms/it, loss 0.496324, accuracy 76.750 %,  lr = 0.100
2020-11-22 12:50:45,681   Finished training it 6144/613937 of epoch 0, -1.00 ms/it, loss 0.489327, accuracy 77.065 %,  lr = 0.100
2020-11-22 12:51:13,077   Finished training it 7168/613937 of epoch 0, -1.00 ms/it, loss 0.482331, accuracy 77.617 %,  lr = 0.100
2020-11-22 12:51:40,695   Finished training it 8192/613937 of epoch 0, -1.00 ms/it, loss 0.479457, accuracy 77.800 %,  lr = 0.100
2020-11-22 12:52:08,148   Finished training it 9216/613937 of epoch 0, -1.00 ms/it, loss 0.483879, accuracy 77.303 %,  lr = 0.100
2020-11-22 12:52:35,870   Finished training it 10240/613937 of epoch 0, -1.00 ms/it, loss 0.479369, accuracy 77.492 %,  lr = 0.100
2020-11-22 12:53:03,451   Finished training it 11264/613937 of epoch 0, -1.00 ms/it, loss 0.478318, accuracy 77.646 %,  lr = 0.100
2020-11-22 12:53:31,537   Finished training it 12288/613937 of epoch 0, -1.00 ms/it, loss 0.476493, accuracy 77.768 %,  lr = 0.100
2020-11-22 12:53:59,357   Finished training it 13312/613937 of epoch 0, -1.00 ms/it, loss 0.474143, accuracy 78.078 %,  lr = 0.100
2020-11-22 12:54:27,109   Finished training it 14336/613937 of epoch 0, -1.00 ms/it, loss 0.473316, accuracy 77.788 %,  lr = 0.100
2020-11-22 12:54:54,962   Finished training it 15360/613937 of epoch 0, -1.00 ms/it, loss 0.476714, accuracy 77.670 %,  lr = 0.100
2020-11-22 12:55:22,270   Finished training it 16384/613937 of epoch 0, -1.00 ms/it, loss 0.471470, accuracy 78.160 %,  lr = 0.100
2020-11-22 12:55:50,288   Finished training it 17408/613937 of epoch 0, -1.00 ms/it, loss 0.473952, accuracy 77.972 %,  lr = 0.100
2020-11-22 12:56:17,968   Finished training it 18432/613937 of epoch 0, -1.00 ms/it, loss 0.469586, accuracy 78.142 %,  lr = 0.100
2020-11-22 12:56:45,647   Finished training it 19456/613937 of epoch 0, -1.00 ms/it, loss 0.468398, accuracy 78.122 %,  lr = 0.100
2020-11-22 12:57:13,608   Finished training it 20480/613937 of epoch 0, -1.00 ms/it, loss 0.471618, accuracy 77.826 %,  lr = 0.100
2020-11-22 12:57:41,550   Finished training it 21504/613937 of epoch 0, -1.00 ms/it, loss 0.467919, accuracy 78.163 %,  lr = 0.100
