2020-11-28 19:27:19,451   ******************************************************
2020-11-28 22:49:05,226   ******************************************************
2020-11-28 22:49:05,226                     dlrm_s_pytorch.py                   
2020-11-28 22:49:05,226   args = Namespace(activation_function='relu', arch_embedding_size='4-3-2', arch_interaction_itself=False, arch_interaction_op='dot', arch_mlp_bot='13-512-256-64-16', arch_mlp_top='512-256-1', arch_sparse_feature_size=16, data_generation='dataset', data_randomize='total', data_set='kaggle', data_size=1, data_sub_sample_rate=0.0, data_trace_enable_padding=False, data_trace_file='./input/dist_emb_j.log', dataset_multiprocessing=False, debug_mode=False, debuglog='', enable_profiling=False, gpu_id='0', grow_embedding=False, growth_step=0, growth_stop_horizon=1.0, inference_only=False, initialization='zero', learning_rate=0.1, load_model='', loss_function='bce', loss_threshold=0.0, loss_weights='1.0-1.0', lr_decay_start_step=0, lr_num_decay_steps=0, lr_num_warmup_steps=0, max_ind_range=-1, md_flag=False, md_round_dims=False, md_temperature=0.3, md_threshold=200, memory_map=False, mini_batch_size=64, mlperf_acc_threshold=0.0, mlperf_auc_threshold=0.0, mlperf_bin_loader=False, mlperf_bin_shuffle=False, mlperf_logging=False, nepochs=1, num_batches=0, num_indices_per_lookup=10, num_indices_per_lookup_fixed=False, num_workers=0, numpy_rand_seed=123, plot_compute_graph=False, print_freq=1024, print_precision=5, print_time=False, processed_data_file='./input/kaggleAdDisplayChallenge_processed.npz', qr_collisions=4, qr_flag=False, qr_operation='mult', qr_threshold=200, raw_data_file='./input/train.txt', round_targets=True, save_model='', save_onnx=False, size_scale=1.0, sync_dense_params=True, test_freq=80000, test_mini_batch_size=16384, test_num_workers=-16, use_gpu=True)
2020-11-28 22:49:05,252   dataset kaggle #day 7
2020-11-28 22:49:05,252   Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
2020-11-28 22:49:33,174   Sparse fea = 26, Dense fea = 13
2020-11-28 22:49:33,261   Defined train indices...
2020-11-28 22:49:34,979   Randomized indices across days ...
2020-11-28 22:50:05,326   Split data according to indices...
2020-11-28 22:50:05,328   dataset kaggle #day 7
2020-11-28 22:50:05,328   Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
2020-11-28 22:50:33,303   Sparse fea = 26, Dense fea = 13
2020-11-28 22:50:33,390   Defined test indices...
2020-11-28 22:50:35,110   Randomized indices across days ...
2020-11-28 22:50:37,413   Split data according to indices...
2020-11-28 22:50:46,866   FC param size = 475.98K, param size = 540.68M,  FLOP = 951.97K
2020-11-28 22:50:46,867   m_spa=16, ln_bot=[ 13 512 256  64  16], ln_top=[367 512 256   1] 

2020-11-28 22:50:46,867   time/loss/accuracy (if enabled):
2020-11-28 22:50:59,155   Finished training it 1024/613937 of epoch 0, -1.00 ms/it, loss 0.525105, accuracy 75.127 %,  lr = 0.100
2020-11-28 22:51:09,672   Finished training it 2048/613937 of epoch 0, -1.00 ms/it, loss 0.505116, accuracy 76.558 %,  lr = 0.100
2020-11-28 22:51:20,102   Finished training it 3072/613937 of epoch 0, -1.00 ms/it, loss 0.502547, accuracy 76.511 %,  lr = 0.100
2020-11-28 22:51:30,577   Finished training it 4096/613937 of epoch 0, -1.00 ms/it, loss 0.495895, accuracy 76.808 %,  lr = 0.100
2020-11-28 22:51:41,078   Finished training it 5120/613937 of epoch 0, -1.00 ms/it, loss 0.494805, accuracy 76.846 %,  lr = 0.100
2020-11-28 22:51:51,572   Finished training it 6144/613937 of epoch 0, -1.00 ms/it, loss 0.487938, accuracy 77.089 %,  lr = 0.100
2020-11-28 22:52:02,044   Finished training it 7168/613937 of epoch 0, -1.00 ms/it, loss 0.481774, accuracy 77.682 %,  lr = 0.100
2020-11-28 22:52:12,535   Finished training it 8192/613937 of epoch 0, -1.00 ms/it, loss 0.478422, accuracy 77.925 %,  lr = 0.100
2020-11-28 22:52:23,001   Finished training it 9216/613937 of epoch 0, -1.00 ms/it, loss 0.483369, accuracy 77.333 %,  lr = 0.100
2020-11-28 22:52:33,468   Finished training it 10240/613937 of epoch 0, -1.00 ms/it, loss 0.478514, accuracy 77.559 %,  lr = 0.100
2020-11-28 22:52:43,929   Finished training it 11264/613937 of epoch 0, -1.00 ms/it, loss 0.477876, accuracy 77.667 %,  lr = 0.100
2020-11-28 22:52:54,448   Finished training it 12288/613937 of epoch 0, -1.00 ms/it, loss 0.476163, accuracy 77.803 %,  lr = 0.100
2020-11-28 22:53:04,964   Finished training it 13312/613937 of epoch 0, -1.00 ms/it, loss 0.473469, accuracy 78.136 %,  lr = 0.100
2020-11-28 22:53:15,398   Finished training it 14336/613937 of epoch 0, -1.00 ms/it, loss 0.472480, accuracy 77.914 %,  lr = 0.100
2020-11-28 22:53:25,946   Finished training it 15360/613937 of epoch 0, -1.00 ms/it, loss 0.476114, accuracy 77.672 %,  lr = 0.100
2020-11-28 22:53:36,462   Finished training it 16384/613937 of epoch 0, -1.00 ms/it, loss 0.470888, accuracy 78.172 %,  lr = 0.100
2020-11-28 22:53:46,938   Finished training it 17408/613937 of epoch 0, -1.00 ms/it, loss 0.473325, accuracy 77.975 %,  lr = 0.100
2020-11-28 22:53:57,377   Finished training it 18432/613937 of epoch 0, -1.00 ms/it, loss 0.468611, accuracy 78.134 %,  lr = 0.100
2020-11-28 22:54:07,889   Finished training it 19456/613937 of epoch 0, -1.00 ms/it, loss 0.468024, accuracy 78.145 %,  lr = 0.100
2020-11-28 22:54:18,398   Finished training it 20480/613937 of epoch 0, -1.00 ms/it, loss 0.470996, accuracy 77.779 %,  lr = 0.100
2020-11-28 22:54:28,869   Finished training it 21504/613937 of epoch 0, -1.00 ms/it, loss 0.467391, accuracy 78.169 %,  lr = 0.100
2020-11-28 22:54:39,351   Finished training it 22528/613937 of epoch 0, -1.00 ms/it, loss 0.469149, accuracy 78.136 %,  lr = 0.100
2020-11-28 22:54:49,834   Finished training it 23552/613937 of epoch 0, -1.00 ms/it, loss 0.462597, accuracy 78.513 %,  lr = 0.100
2020-11-28 22:55:00,372   Finished training it 24576/613937 of epoch 0, -1.00 ms/it, loss 0.466284, accuracy 78.375 %,  lr = 0.100
2020-11-28 22:55:10,807   Finished training it 25600/613937 of epoch 0, -1.00 ms/it, loss 0.471453, accuracy 78.073 %,  lr = 0.100
2020-11-28 22:55:21,308   Finished training it 26624/613937 of epoch 0, -1.00 ms/it, loss 0.468815, accuracy 78.116 %,  lr = 0.100
2020-11-28 22:55:31,849   Finished training it 27648/613937 of epoch 0, -1.00 ms/it, loss 0.466109, accuracy 78.255 %,  lr = 0.100
2020-11-28 22:55:42,345   Finished training it 28672/613937 of epoch 0, -1.00 ms/it, loss 0.467240, accuracy 78.178 %,  lr = 0.100
2020-11-28 22:55:52,840   Finished training it 29696/613937 of epoch 0, -1.00 ms/it, loss 0.467042, accuracy 78.082 %,  lr = 0.100
2020-11-28 22:56:03,310   Finished training it 30720/613937 of epoch 0, -1.00 ms/it, loss 0.463105, accuracy 78.557 %,  lr = 0.100
2020-11-28 22:56:13,829   Finished training it 31744/613937 of epoch 0, -1.00 ms/it, loss 0.464902, accuracy 78.322 %,  lr = 0.100
2020-11-28 22:56:24,351   Finished training it 32768/613937 of epoch 0, -1.00 ms/it, loss 0.465676, accuracy 78.325 %,  lr = 0.100
2020-11-28 22:56:34,913   Finished training it 33792/613937 of epoch 0, -1.00 ms/it, loss 0.462965, accuracy 78.363 %,  lr = 0.100
2020-11-28 22:56:45,478   Finished training it 34816/613937 of epoch 0, -1.00 ms/it, loss 0.464403, accuracy 78.313 %,  lr = 0.100
2020-11-28 22:56:55,965   Finished training it 35840/613937 of epoch 0, -1.00 ms/it, loss 0.463874, accuracy 78.542 %,  lr = 0.100
2020-11-28 22:57:06,475   Finished training it 36864/613937 of epoch 0, -1.00 ms/it, loss 0.467713, accuracy 78.154 %,  lr = 0.100
2020-11-28 22:57:17,013   Finished training it 37888/613937 of epoch 0, -1.00 ms/it, loss 0.462825, accuracy 78.423 %,  lr = 0.100
2020-11-28 22:57:27,528   Finished training it 38912/613937 of epoch 0, -1.00 ms/it, loss 0.465349, accuracy 78.369 %,  lr = 0.100
2020-11-28 22:57:38,048   Finished training it 39936/613937 of epoch 0, -1.00 ms/it, loss 0.464162, accuracy 78.380 %,  lr = 0.100
2020-11-28 22:57:48,538   Finished training it 40960/613937 of epoch 0, -1.00 ms/it, loss 0.464113, accuracy 78.365 %,  lr = 0.100
