2020-11-29 17:25:04,174   ******************************************************
2020-11-29 17:25:04,174                     dlrm_s_pytorch.py                   
2020-11-29 17:25:04,174   args = Namespace(activation_function='relu', arch_embedding_size='4-3-2', arch_interaction_itself=False, arch_interaction_op='dot', arch_mlp_bot='13-512-256-64-16', arch_mlp_top='512-256-1', arch_sparse_feature_size=16, data_generation='dataset', data_randomize='total', data_set='kaggle', data_size=1, data_sub_sample_rate=0.0, data_trace_enable_padding=False, data_trace_file='./input/dist_emb_j.log', dataset_multiprocessing=False, debug_mode=False, debuglog='', enable_profiling=False, gpu_id='0', grow_embedding=False, growth_step=2, growth_stop_horizon=1.0, inference_only=False, initialization='random', learning_rate=0.1, load_model='', loss_function='bce', loss_threshold=0.0, loss_weights='1.0-1.0', lr_decay_start_step=0, lr_num_decay_steps=0, lr_num_warmup_steps=0, max_ind_range=-1, md_flag=False, md_round_dims=False, md_temperature=0.3, md_threshold=200, memory_map=False, mini_batch_size=64, mlperf_acc_threshold=0.0, mlperf_auc_threshold=0.0, mlperf_bin_loader=False, mlperf_bin_shuffle=False, mlperf_logging=False, nepochs=1, num_batches=0, num_indices_per_lookup=10, num_indices_per_lookup_fixed=False, num_workers=0, numpy_rand_seed=123, plot_compute_graph=False, print_freq=1024, print_precision=5, print_time=False, processed_data_file='./input/kaggleAdDisplayChallenge_processed.npz', qr_collisions=4, qr_flag=False, qr_operation='mult', qr_threshold=200, raw_data_file='./input/train.txt', round_targets=True, save_model='', save_onnx=False, size_scale=0.5, sync_dense_params=True, test_freq=80000, test_mini_batch_size=16384, test_num_workers=-16, use_gpu=True)
2020-11-29 17:25:04,200   dataset kaggle #day 7
2020-11-29 17:25:04,200   Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
2020-11-29 17:25:32,164   Sparse fea = 26, Dense fea = 13
2020-11-29 17:25:32,252   Defined train indices...
2020-11-29 17:25:33,982   Randomized indices across days ...
2020-11-29 17:26:04,604   Split data according to indices...
2020-11-29 17:26:04,606   dataset kaggle #day 7
2020-11-29 17:26:04,606   Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
2020-11-29 17:26:32,759   Sparse fea = 26, Dense fea = 13
2020-11-29 17:26:32,846   Defined test indices...
2020-11-29 17:26:34,578   Randomized indices across days ...
2020-11-29 17:26:36,888   Split data according to indices...
2020-11-29 17:26:46,934   FC param size = 168.37K, param size = 540.37M,  FLOP = 336.74K
2020-11-29 17:26:46,934   m_spa=16, ln_bot=[ 13 256 128  32  16], ln_top=[367 256 128   1] 

2020-11-29 17:26:46,934   time/loss/accuracy (if enabled):
2020-11-29 17:26:46,934   Stage 0, This growth start from input index 0
2020-11-29 17:26:59,050   Finished training it 1024/613937 of epoch 0, -1.00 ms/it, loss 0.527288, accuracy 75.102 %,  lr = 0.100
2020-11-29 17:27:09,207   Finished training it 2048/613937 of epoch 0, -1.00 ms/it, loss 0.505455, accuracy 76.450 %,  lr = 0.100
2020-11-29 17:27:19,383   Finished training it 3072/613937 of epoch 0, -1.00 ms/it, loss 0.503127, accuracy 76.483 %,  lr = 0.100
2020-11-29 17:27:29,531   Finished training it 4096/613937 of epoch 0, -1.00 ms/it, loss 0.496475, accuracy 76.750 %,  lr = 0.100
2020-11-29 17:27:39,713   Finished training it 5120/613937 of epoch 0, -1.00 ms/it, loss 0.495470, accuracy 76.747 %,  lr = 0.100
2020-11-29 17:27:48,201   Finished training it 6144/613937 of epoch 0, -1.00 ms/it, loss 0.488208, accuracy 77.107 %,  lr = 0.100
2020-11-29 17:27:57,005   Finished training it 7168/613937 of epoch 0, -1.00 ms/it, loss 0.482177, accuracy 77.757 %,  lr = 0.100
2020-11-29 17:28:07,143   Finished training it 8192/613937 of epoch 0, -1.00 ms/it, loss 0.479504, accuracy 77.821 %,  lr = 0.100
2020-11-29 17:28:17,352   Finished training it 9216/613937 of epoch 0, -1.00 ms/it, loss 0.484152, accuracy 77.238 %,  lr = 0.100
2020-11-29 17:28:27,554   Finished training it 10240/613937 of epoch 0, -1.00 ms/it, loss 0.479417, accuracy 77.489 %,  lr = 0.100
2020-11-29 17:28:37,739   Finished training it 11264/613937 of epoch 0, -1.00 ms/it, loss 0.478599, accuracy 77.643 %,  lr = 0.100
2020-11-29 17:28:47,925   Finished training it 12288/613937 of epoch 0, -1.00 ms/it, loss 0.476885, accuracy 77.722 %,  lr = 0.100
2020-11-29 17:28:58,089   Finished training it 13312/613937 of epoch 0, -1.00 ms/it, loss 0.474402, accuracy 78.065 %,  lr = 0.100
2020-11-29 17:29:08,237   Finished training it 14336/613937 of epoch 0, -1.00 ms/it, loss 0.473365, accuracy 77.850 %,  lr = 0.100
2020-11-29 17:29:18,452   Finished training it 15360/613937 of epoch 0, -1.00 ms/it, loss 0.476893, accuracy 77.654 %,  lr = 0.100
2020-11-29 17:29:28,657   Finished training it 16384/613937 of epoch 0, -1.00 ms/it, loss 0.471789, accuracy 78.114 %,  lr = 0.100
2020-11-29 17:29:38,822   Finished training it 17408/613937 of epoch 0, -1.00 ms/it, loss 0.474256, accuracy 77.899 %,  lr = 0.100
2020-11-29 17:29:48,971   Finished training it 18432/613937 of epoch 0, -1.00 ms/it, loss 0.469896, accuracy 78.087 %,  lr = 0.100
2020-11-29 17:29:59,179   Finished training it 19456/613937 of epoch 0, -1.00 ms/it, loss 0.468471, accuracy 78.120 %,  lr = 0.100
2020-11-29 17:30:09,374   Finished training it 20480/613937 of epoch 0, -1.00 ms/it, loss 0.471595, accuracy 77.783 %,  lr = 0.100
