2020-11-28 12:10:39,289   ******************************************************
2020-11-28 12:10:39,289                     dlrm_s_pytorch.py                   
2020-11-28 12:10:39,289   args = Namespace(activation_function='relu', arch_embedding_size='4-3-2', arch_interaction_itself=False, arch_interaction_op='dot', arch_mlp_bot='13-512-256-64-16', arch_mlp_top='512-256-1', arch_sparse_feature_size=16, data_generation='dataset', data_randomize='total', data_set='kaggle', data_size=1, data_sub_sample_rate=0.0, data_trace_enable_padding=False, data_trace_file='./input/dist_emb_j.log', dataset_multiprocessing=False, debug_mode=False, debuglog='', enable_profiling=False, gpu_id='0', grow_embedding=False, growth_step=2, growth_stop_horizon=1.0, inference_only=False, initialization='zero', learning_rate=0.1, load_model='', loss_function='bce', loss_threshold=0.0, loss_weights='1.0-1.0', lr_decay_start_step=0, lr_num_decay_steps=0, lr_num_warmup_steps=0, max_ind_range=-1, md_flag=False, md_round_dims=False, md_temperature=0.3, md_threshold=200, memory_map=False, mini_batch_size=64, mlperf_acc_threshold=0.0, mlperf_auc_threshold=0.0, mlperf_bin_loader=False, mlperf_bin_shuffle=False, mlperf_logging=False, nepochs=1, num_batches=0, num_indices_per_lookup=10, num_indices_per_lookup_fixed=False, num_workers=0, numpy_rand_seed=123, plot_compute_graph=False, print_freq=1024, print_precision=5, print_time=False, processed_data_file='./input/kaggleAdDisplayChallenge_processed.npz', qr_collisions=4, qr_flag=False, qr_operation='mult', qr_threshold=200, raw_data_file='./input/train.txt', round_targets=True, save_model='', save_onnx=False, size_scale=0.5, sync_dense_params=True, test_freq=80000, test_mini_batch_size=16384, test_num_workers=-16, use_gpu=True)
2020-11-28 12:10:39,314   dataset kaggle #day 7
2020-11-28 12:10:39,315   Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
2020-11-28 12:11:07,262   Sparse fea = 26, Dense fea = 13
2020-11-28 12:11:07,350   Defined train indices...
2020-11-28 12:11:09,080   Randomized indices across days ...
2020-11-28 12:11:40,097   Split data according to indices...
2020-11-28 12:11:40,099   dataset kaggle #day 7
2020-11-28 12:11:40,099   Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
2020-11-28 12:12:08,122   Sparse fea = 26, Dense fea = 13
2020-11-28 12:12:08,209   Defined test indices...
2020-11-28 12:12:09,940   Randomized indices across days ...
2020-11-28 12:12:12,262   Split data according to indices...
2020-11-28 12:12:21,794   FC param size = 168.37K, param size = 540.37M,  FLOP = 336.74K
2020-11-28 12:12:21,794   m_spa=16, ln_bot=[ 13 256 128  32  16], ln_top=[367 256 128   1] 

2020-11-28 12:12:21,795   time/loss/accuracy (if enabled):
2020-11-28 12:12:21,795   Stage 0, This growth start from input index 0
2020-11-28 12:12:33,903   Finished training it 1024/613937 of epoch 0, -1.00 ms/it, loss 0.527256, accuracy 75.102 %,  lr = 0.100
2020-11-28 12:12:44,100   Finished training it 2048/613937 of epoch 0, -1.00 ms/it, loss 0.505481, accuracy 76.534 %,  lr = 0.100
2020-11-28 12:12:54,319   Finished training it 3072/613937 of epoch 0, -1.00 ms/it, loss 0.503398, accuracy 76.479 %,  lr = 0.100
2020-11-28 12:13:04,535   Finished training it 4096/613937 of epoch 0, -1.00 ms/it, loss 0.496568, accuracy 76.680 %,  lr = 0.100
2020-11-28 12:13:14,733   Finished training it 5120/613937 of epoch 0, -1.00 ms/it, loss 0.495379, accuracy 76.761 %,  lr = 0.100
2020-11-28 12:13:25,007   Finished training it 6144/613937 of epoch 0, -1.00 ms/it, loss 0.488483, accuracy 77.081 %,  lr = 0.100
2020-11-28 12:13:35,242   Finished training it 7168/613937 of epoch 0, -1.00 ms/it, loss 0.482163, accuracy 77.679 %,  lr = 0.100
2020-11-28 12:13:45,486   Finished training it 8192/613937 of epoch 0, -1.00 ms/it, loss 0.479587, accuracy 77.850 %,  lr = 0.100
2020-11-28 12:13:55,663   Finished training it 9216/613937 of epoch 0, -1.00 ms/it, loss 0.484137, accuracy 77.234 %,  lr = 0.100
2020-11-28 12:14:05,880   Finished training it 10240/613937 of epoch 0, -1.00 ms/it, loss 0.479508, accuracy 77.457 %,  lr = 0.100
2020-11-28 12:14:16,110   Finished training it 11264/613937 of epoch 0, -1.00 ms/it, loss 0.478562, accuracy 77.618 %,  lr = 0.100
2020-11-28 12:14:26,333   Finished training it 12288/613937 of epoch 0, -1.00 ms/it, loss 0.476716, accuracy 77.762 %,  lr = 0.100
2020-11-28 12:14:36,486   Finished training it 13312/613937 of epoch 0, -1.00 ms/it, loss 0.474436, accuracy 77.986 %,  lr = 0.100
2020-11-28 12:14:46,683   Finished training it 14336/613937 of epoch 0, -1.00 ms/it, loss 0.473459, accuracy 77.818 %,  lr = 0.100
2020-11-28 12:14:56,885   Finished training it 15360/613937 of epoch 0, -1.00 ms/it, loss 0.476820, accuracy 77.684 %,  lr = 0.100
2020-11-28 12:15:07,100   Finished training it 16384/613937 of epoch 0, -1.00 ms/it, loss 0.471703, accuracy 78.122 %,  lr = 0.100
2020-11-28 12:15:17,331   Finished training it 17408/613937 of epoch 0, -1.00 ms/it, loss 0.474215, accuracy 77.916 %,  lr = 0.100
2020-11-28 12:15:27,519   Finished training it 18432/613937 of epoch 0, -1.00 ms/it, loss 0.469618, accuracy 78.094 %,  lr = 0.100
2020-11-28 12:15:37,726   Finished training it 19456/613937 of epoch 0, -1.00 ms/it, loss 0.468486, accuracy 78.125 %,  lr = 0.100
2020-11-28 12:15:47,949   Finished training it 20480/613937 of epoch 0, -1.00 ms/it, loss 0.471557, accuracy 77.812 %,  lr = 0.100
2020-11-28 12:15:58,261   Finished training it 21504/613937 of epoch 0, -1.00 ms/it, loss 0.468194, accuracy 78.209 %,  lr = 0.100
2020-11-28 12:16:08,461   Finished training it 22528/613937 of epoch 0, -1.00 ms/it, loss 0.469900, accuracy 78.084 %,  lr = 0.100
2020-11-28 12:16:18,720   Finished training it 23552/613937 of epoch 0, -1.00 ms/it, loss 0.462754, accuracy 78.545 %,  lr = 0.100
2020-11-28 12:16:28,972   Finished training it 24576/613937 of epoch 0, -1.00 ms/it, loss 0.466680, accuracy 78.375 %,  lr = 0.100
2020-11-28 12:16:38,075   Finished training it 25600/613937 of epoch 0, -1.00 ms/it, loss 0.471835, accuracy 78.009 %,  lr = 0.100
2020-11-28 12:16:46,494   Finished training it 26624/613937 of epoch 0, -1.00 ms/it, loss 0.469172, accuracy 78.050 %,  lr = 0.100
2020-11-28 12:16:56,745   Finished training it 27648/613937 of epoch 0, -1.00 ms/it, loss 0.466647, accuracy 78.328 %,  lr = 0.100
