2020-11-29 17:25:15,721   ******************************************************
2020-11-29 17:25:15,721                     dlrm_s_pytorch.py                   
2020-11-29 17:25:15,721   args = Namespace(activation_function='relu', arch_embedding_size='4-3-2', arch_interaction_itself=False, arch_interaction_op='dot', arch_mlp_bot='13-512-256-64-16', arch_mlp_top='512-256-1', arch_sparse_feature_size=16, data_generation='dataset', data_randomize='total', data_set='kaggle', data_size=1, data_sub_sample_rate=0.0, data_trace_enable_padding=False, data_trace_file='./input/dist_emb_j.log', dataset_multiprocessing=False, debug_mode=False, debuglog='', enable_profiling=False, gpu_id='1', grow_embedding=False, growth_step=4, growth_stop_horizon=1.0, inference_only=False, initialization='random', learning_rate=0.1, load_model='', loss_function='bce', loss_threshold=0.0, loss_weights='1.0-1.0', lr_decay_start_step=0, lr_num_decay_steps=0, lr_num_warmup_steps=0, max_ind_range=-1, md_flag=False, md_round_dims=False, md_temperature=0.3, md_threshold=200, memory_map=False, mini_batch_size=64, mlperf_acc_threshold=0.0, mlperf_auc_threshold=0.0, mlperf_bin_loader=False, mlperf_bin_shuffle=False, mlperf_logging=False, nepochs=1, num_batches=0, num_indices_per_lookup=10, num_indices_per_lookup_fixed=False, num_workers=0, numpy_rand_seed=123, plot_compute_graph=False, print_freq=1024, print_precision=5, print_time=False, processed_data_file='./input/kaggleAdDisplayChallenge_processed.npz', qr_collisions=4, qr_flag=False, qr_operation='mult', qr_threshold=200, raw_data_file='./input/train.txt', round_targets=True, save_model='', save_onnx=False, size_scale=0.25, sync_dense_params=True, test_freq=80000, test_mini_batch_size=16384, test_num_workers=-16, use_gpu=True)
2020-11-29 17:25:15,745   dataset kaggle #day 7
2020-11-29 17:25:15,745   Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
2020-11-29 17:25:43,833   Sparse fea = 26, Dense fea = 13
2020-11-29 17:25:43,921   Defined train indices...
2020-11-29 17:25:45,658   Randomized indices across days ...
2020-11-29 17:26:16,381   Split data according to indices...
2020-11-29 17:26:16,383   dataset kaggle #day 7
2020-11-29 17:26:16,383   Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
2020-11-29 17:26:44,996   Sparse fea = 26, Dense fea = 13
2020-11-29 17:26:45,093   Defined test indices...
2020-11-29 17:26:46,862   Randomized indices across days ...
2020-11-29 17:26:49,155   Split data according to indices...
2020-11-29 17:26:59,167   FC param size = 66.78K, param size = 540.27M,  FLOP = 133.57K
2020-11-29 17:26:59,167   m_spa=16, ln_bot=[ 13 128  64  16  16], ln_top=[367 128  64   1] 

2020-11-29 17:26:59,167   time/loss/accuracy (if enabled):
2020-11-29 17:26:59,167   Stage 0, This growth start from input index 0
2020-11-29 17:27:11,175   Finished training it 1024/613937 of epoch 0, -1.00 ms/it, loss 0.522145, accuracy 75.227 %,  lr = 0.100
2020-11-29 17:27:21,353   Finished training it 2048/613937 of epoch 0, -1.00 ms/it, loss 0.501614, accuracy 76.744 %,  lr = 0.100
2020-11-29 17:27:31,499   Finished training it 3072/613937 of epoch 0, -1.00 ms/it, loss 0.498209, accuracy 76.715 %,  lr = 0.100
2020-11-29 17:27:41,635   Finished training it 4096/613937 of epoch 0, -1.00 ms/it, loss 0.491164, accuracy 77.057 %,  lr = 0.100
2020-11-29 17:27:51,793   Finished training it 5120/613937 of epoch 0, -1.00 ms/it, loss 0.490875, accuracy 76.903 %,  lr = 0.100
2020-11-29 17:28:01,926   Finished training it 6144/613937 of epoch 0, -1.00 ms/it, loss 0.484821, accuracy 77.251 %,  lr = 0.100
2020-11-29 17:28:12,109   Finished training it 7168/613937 of epoch 0, -1.00 ms/it, loss 0.479654, accuracy 77.797 %,  lr = 0.100
2020-11-29 17:28:22,260   Finished training it 8192/613937 of epoch 0, -1.00 ms/it, loss 0.477568, accuracy 77.812 %,  lr = 0.100
2020-11-29 17:28:32,392   Finished training it 9216/613937 of epoch 0, -1.00 ms/it, loss 0.481948, accuracy 77.396 %,  lr = 0.100
2020-11-29 17:28:42,526   Finished training it 10240/613937 of epoch 0, -1.00 ms/it, loss 0.477817, accuracy 77.563 %,  lr = 0.100
2020-11-29 17:28:52,694   Finished training it 11264/613937 of epoch 0, -1.00 ms/it, loss 0.477102, accuracy 77.811 %,  lr = 0.100
2020-11-29 17:29:02,856   Finished training it 12288/613937 of epoch 0, -1.00 ms/it, loss 0.475672, accuracy 77.794 %,  lr = 0.100
2020-11-29 17:29:13,003   Finished training it 13312/613937 of epoch 0, -1.00 ms/it, loss 0.473028, accuracy 78.171 %,  lr = 0.100
2020-11-29 17:29:23,168   Finished training it 14336/613937 of epoch 0, -1.00 ms/it, loss 0.472208, accuracy 77.934 %,  lr = 0.100
2020-11-29 17:29:33,353   Finished training it 15360/613937 of epoch 0, -1.00 ms/it, loss 0.475955, accuracy 77.713 %,  lr = 0.100
2020-11-29 17:29:43,535   Finished training it 16384/613937 of epoch 0, -1.00 ms/it, loss 0.471071, accuracy 78.145 %,  lr = 0.100
2020-11-29 17:29:53,692   Finished training it 17408/613937 of epoch 0, -1.00 ms/it, loss 0.473619, accuracy 77.988 %,  lr = 0.100
2020-11-29 17:30:03,855   Finished training it 18432/613937 of epoch 0, -1.00 ms/it, loss 0.468816, accuracy 78.177 %,  lr = 0.100
2020-11-29 17:30:14,007   Finished training it 19456/613937 of epoch 0, -1.00 ms/it, loss 0.468144, accuracy 78.238 %,  lr = 0.100
2020-11-29 17:30:24,153   Finished training it 20480/613937 of epoch 0, -1.00 ms/it, loss 0.471103, accuracy 77.913 %,  lr = 0.100
