2020-11-28 12:12:04,888   ******************************************************
2020-11-28 12:12:04,889                     dlrm_s_pytorch.py                   
2020-11-28 12:12:04,889   args = Namespace(activation_function='relu', arch_embedding_size='4-3-2', arch_interaction_itself=False, arch_interaction_op='dot', arch_mlp_bot='13-512-256-64-16', arch_mlp_top='512-256-1', arch_sparse_feature_size=16, data_generation='dataset', data_randomize='total', data_set='kaggle', data_size=1, data_sub_sample_rate=0.0, data_trace_enable_padding=False, data_trace_file='./input/dist_emb_j.log', dataset_multiprocessing=False, debug_mode=False, debuglog='', enable_profiling=False, gpu_id='1', grow_embedding=False, growth_step=4, growth_stop_horizon=1.0, inference_only=False, initialization='zero', learning_rate=0.1, load_model='', loss_function='bce', loss_threshold=0.0, loss_weights='1.0-1.0', lr_decay_start_step=0, lr_num_decay_steps=0, lr_num_warmup_steps=0, max_ind_range=-1, md_flag=False, md_round_dims=False, md_temperature=0.3, md_threshold=200, memory_map=False, mini_batch_size=64, mlperf_acc_threshold=0.0, mlperf_auc_threshold=0.0, mlperf_bin_loader=False, mlperf_bin_shuffle=False, mlperf_logging=False, nepochs=1, num_batches=0, num_indices_per_lookup=10, num_indices_per_lookup_fixed=False, num_workers=0, numpy_rand_seed=123, plot_compute_graph=False, print_freq=1024, print_precision=5, print_time=False, processed_data_file='./input/kaggleAdDisplayChallenge_processed.npz', qr_collisions=4, qr_flag=False, qr_operation='mult', qr_threshold=200, raw_data_file='./input/train.txt', round_targets=True, save_model='', save_onnx=False, size_scale=0.25, sync_dense_params=True, test_freq=80000, test_mini_batch_size=16384, test_num_workers=-16, use_gpu=True)
2020-11-28 12:12:04,914   dataset kaggle #day 7
2020-11-28 12:12:04,915   Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
2020-11-28 12:12:33,134   Sparse fea = 26, Dense fea = 13
2020-11-28 12:12:33,221   Defined train indices...
2020-11-28 12:12:34,943   Randomized indices across days ...
2020-11-28 12:13:05,163   Split data according to indices...
2020-11-28 12:13:05,164   dataset kaggle #day 7
2020-11-28 12:13:05,164   Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
2020-11-28 12:13:33,272   Sparse fea = 26, Dense fea = 13
2020-11-28 12:13:33,359   Defined test indices...
2020-11-28 12:13:35,081   Randomized indices across days ...
2020-11-28 12:13:37,355   Split data according to indices...
2020-11-28 12:13:46,907   FC param size = 66.78K, param size = 540.27M,  FLOP = 133.57K
2020-11-28 12:13:46,907   m_spa=16, ln_bot=[ 13 128  64  16  16], ln_top=[367 128  64   1] 

2020-11-28 12:13:46,908   time/loss/accuracy (if enabled):
2020-11-28 12:13:46,908   Stage 0, This growth start from input index 0
2020-11-28 12:13:59,085   Finished training it 1024/613937 of epoch 0, -1.00 ms/it, loss 0.522065, accuracy 75.238 %,  lr = 0.100
2020-11-28 12:14:09,295   Finished training it 2048/613937 of epoch 0, -1.00 ms/it, loss 0.501613, accuracy 76.772 %,  lr = 0.100
2020-11-28 12:14:19,494   Finished training it 3072/613937 of epoch 0, -1.00 ms/it, loss 0.498334, accuracy 76.727 %,  lr = 0.100
2020-11-28 12:14:29,710   Finished training it 4096/613937 of epoch 0, -1.00 ms/it, loss 0.491195, accuracy 77.058 %,  lr = 0.100
2020-11-28 12:14:39,877   Finished training it 5120/613937 of epoch 0, -1.00 ms/it, loss 0.490911, accuracy 76.996 %,  lr = 0.100
2020-11-28 12:14:50,071   Finished training it 6144/613937 of epoch 0, -1.00 ms/it, loss 0.485025, accuracy 77.245 %,  lr = 0.100
2020-11-28 12:15:00,285   Finished training it 7168/613937 of epoch 0, -1.00 ms/it, loss 0.479485, accuracy 77.809 %,  lr = 0.100
2020-11-28 12:15:10,471   Finished training it 8192/613937 of epoch 0, -1.00 ms/it, loss 0.477519, accuracy 77.856 %,  lr = 0.100
2020-11-28 12:15:20,749   Finished training it 9216/613937 of epoch 0, -1.00 ms/it, loss 0.482022, accuracy 77.419 %,  lr = 0.100
2020-11-28 12:15:30,977   Finished training it 10240/613937 of epoch 0, -1.00 ms/it, loss 0.478000, accuracy 77.586 %,  lr = 0.100
2020-11-28 12:15:41,180   Finished training it 11264/613937 of epoch 0, -1.00 ms/it, loss 0.477191, accuracy 77.812 %,  lr = 0.100
2020-11-28 12:15:51,399   Finished training it 12288/613937 of epoch 0, -1.00 ms/it, loss 0.475810, accuracy 77.818 %,  lr = 0.100
2020-11-28 12:16:01,560   Finished training it 13312/613937 of epoch 0, -1.00 ms/it, loss 0.473160, accuracy 78.059 %,  lr = 0.100
2020-11-28 12:16:11,721   Finished training it 14336/613937 of epoch 0, -1.00 ms/it, loss 0.472310, accuracy 77.884 %,  lr = 0.100
2020-11-28 12:16:21,927   Finished training it 15360/613937 of epoch 0, -1.00 ms/it, loss 0.476155, accuracy 77.736 %,  lr = 0.100
2020-11-28 12:16:32,130   Finished training it 16384/613937 of epoch 0, -1.00 ms/it, loss 0.471022, accuracy 78.186 %,  lr = 0.100
2020-11-28 12:16:42,357   Finished training it 17408/613937 of epoch 0, -1.00 ms/it, loss 0.473742, accuracy 77.948 %,  lr = 0.100
2020-11-28 12:16:52,556   Finished training it 18432/613937 of epoch 0, -1.00 ms/it, loss 0.469068, accuracy 78.186 %,  lr = 0.100
2020-11-28 12:17:02,755   Finished training it 19456/613937 of epoch 0, -1.00 ms/it, loss 0.468215, accuracy 78.146 %,  lr = 0.100
2020-11-28 12:17:12,937   Finished training it 20480/613937 of epoch 0, -1.00 ms/it, loss 0.471138, accuracy 77.824 %,  lr = 0.100
