2020-11-27 23:44:13,456   ******************************************************
2020-11-27 23:44:13,457                     dlrm_s_pytorch.py                   
2020-11-27 23:44:13,457   args = Namespace(activation_function='relu', arch_embedding_size='4-3-2', arch_interaction_itself=False, arch_interaction_op='dot', arch_mlp_bot='13-4096-2048-2112-16', arch_mlp_top='4096-2048-1', arch_sparse_feature_size=16, data_generation='dataset', data_randomize='total', data_set='kaggle', data_size=1, data_sub_sample_rate=0.0, data_trace_enable_padding=False, data_trace_file='./input/dist_emb_j.log', dataset_multiprocessing=False, debug_mode=False, debuglog='', enable_profiling=False, gpu_id='0', grow_embedding=False, growth_step=0, growth_stop_horizon=1.0, inference_only=False, initialization='zero', learning_rate=0.1, load_model='', loss_function='bce', loss_threshold=0.0, loss_weights='1.0-1.0', lr_decay_start_step=0, lr_num_decay_steps=0, lr_num_warmup_steps=0, max_ind_range=-1, md_flag=False, md_round_dims=False, md_temperature=0.3, md_threshold=200, memory_map=False, mini_batch_size=64, mlperf_acc_threshold=0.0, mlperf_auc_threshold=0.0, mlperf_bin_loader=False, mlperf_bin_shuffle=False, mlperf_logging=False, nepochs=1, num_batches=0, num_indices_per_lookup=10, num_indices_per_lookup_fixed=False, num_workers=0, numpy_rand_seed=123, plot_compute_graph=False, print_freq=1024, print_precision=5, print_time=False, processed_data_file='./input/kaggleAdDisplayChallenge_processed.npz', qr_collisions=4, qr_flag=False, qr_operation='mult', qr_threshold=200, raw_data_file='./input/train.txt', round_targets=True, save_model='', save_onnx=False, size_scale=1, sync_dense_params=True, test_freq=80000, test_mini_batch_size=16384, test_num_workers=-16, use_gpu=True)
2020-11-27 23:44:13,483   dataset kaggle #day 7
2020-11-27 23:44:13,484   Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
2020-11-27 23:44:24,395   ******************************************************
2020-11-27 23:44:24,395                     dlrm_s_pytorch.py                   
2020-11-27 23:44:24,395   args = Namespace(activation_function='relu', arch_embedding_size='4-3-2', arch_interaction_itself=False, arch_interaction_op='dot', arch_mlp_bot='13-4096-2048-2112-16', arch_mlp_top='4096-2048-1', arch_sparse_feature_size=16, data_generation='dataset', data_randomize='total', data_set='kaggle', data_size=1, data_sub_sample_rate=0.0, data_trace_enable_padding=False, data_trace_file='./input/dist_emb_j.log', dataset_multiprocessing=False, debug_mode=False, debuglog='', enable_profiling=False, gpu_id='0', grow_embedding=False, growth_step=0, growth_stop_horizon=1.0, inference_only=False, initialization='zero', learning_rate=0.1, load_model='', loss_function='bce', loss_threshold=0.0, loss_weights='1.0-1.0', lr_decay_start_step=0, lr_num_decay_steps=0, lr_num_warmup_steps=0, max_ind_range=-1, md_flag=False, md_round_dims=False, md_temperature=0.3, md_threshold=200, memory_map=False, mini_batch_size=64, mlperf_acc_threshold=0.0, mlperf_auc_threshold=0.0, mlperf_bin_loader=False, mlperf_bin_shuffle=False, mlperf_logging=False, nepochs=1, num_batches=0, num_indices_per_lookup=10, num_indices_per_lookup_fixed=False, num_workers=0, numpy_rand_seed=123, plot_compute_graph=False, print_freq=1024, print_precision=5, print_time=False, processed_data_file='./input/kaggleAdDisplayChallenge_processed.npz', qr_collisions=4, qr_flag=False, qr_operation='mult', qr_threshold=200, raw_data_file='./input/train.txt', round_targets=True, save_model='', save_onnx=False, size_scale=1, sync_dense_params=True, test_freq=80000, test_mini_batch_size=16384, test_num_workers=-16, use_gpu=True)
2020-11-27 23:44:24,420   dataset kaggle #day 7
2020-11-27 23:44:24,420   Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
2020-11-27 23:44:52,331   Sparse fea = 26, Dense fea = 13
2020-11-27 23:44:52,418   Defined train indices...
2020-11-27 23:44:54,756   Randomized indices across days ...
2020-11-27 23:45:25,904   Split data according to indices...
2020-11-27 23:45:25,906   dataset kaggle #day 7
2020-11-27 23:45:25,906   Reading pre-processed data=./input/kaggleAdDisplayChallenge_processed.npz
2020-11-27 23:45:54,025   Sparse fea = 26, Dense fea = 13
2020-11-27 23:45:54,112   Defined test indices...
2020-11-27 23:45:56,481   Randomized indices across days ...
2020-11-27 23:45:58,817   Split data according to indices...
2020-11-27 23:46:08,890   FC param size = 22709.33K, param size = 562.91M,  FLOP = 45418.66K
2020-11-27 23:46:08,890   m_spa=16, ln_bot=[  13 4096 2048 2112   16], ln_top=[ 367 4096 2048    1] 

2020-11-27 23:46:08,890   time/loss/accuracy (if enabled):
2020-11-27 23:46:23,631   Finished training it 1024/613937 of epoch 0, -1.00 ms/it, loss 0.526528, accuracy 75.110 %,  lr = 0.100
2020-11-27 23:46:36,392   Finished training it 2048/613937 of epoch 0, -1.00 ms/it, loss 0.506915, accuracy 76.460 %,  lr = 0.100
2020-11-27 23:46:49,348   Finished training it 3072/613937 of epoch 0, -1.00 ms/it, loss 0.505713, accuracy 76.320 %,  lr = 0.100
2020-11-27 23:47:02,231   Finished training it 4096/613937 of epoch 0, -1.00 ms/it, loss 0.498977, accuracy 76.593 %,  lr = 0.100
2020-11-27 23:47:15,092   Finished training it 5120/613937 of epoch 0, -1.00 ms/it, loss 0.498301, accuracy 76.607 %,  lr = 0.100
2020-11-27 23:47:27,314   Finished training it 6144/613937 of epoch 0, -1.00 ms/it, loss 0.491308, accuracy 76.907 %,  lr = 0.100
2020-11-27 23:47:40,363   Finished training it 7168/613937 of epoch 0, -1.00 ms/it, loss 0.484064, accuracy 77.524 %,  lr = 0.100
2020-11-27 23:47:53,178   Finished training it 8192/613937 of epoch 0, -1.00 ms/it, loss 0.480765, accuracy 77.705 %,  lr = 0.100
2020-11-27 23:48:05,989   Finished training it 9216/613937 of epoch 0, -1.00 ms/it, loss 0.484688, accuracy 77.245 %,  lr = 0.100
2020-11-27 23:48:18,778   Finished training it 10240/613937 of epoch 0, -1.00 ms/it, loss 0.480272, accuracy 77.525 %,  lr = 0.100
2020-11-27 23:48:30,653   Finished training it 11264/613937 of epoch 0, -1.00 ms/it, loss 0.479067, accuracy 77.615 %,  lr = 0.100
2020-11-27 23:48:43,290   Finished training it 12288/613937 of epoch 0, -1.00 ms/it, loss 0.477237, accuracy 77.747 %,  lr = 0.100
2020-11-27 23:48:55,803   Finished training it 13312/613937 of epoch 0, -1.00 ms/it, loss 0.474620, accuracy 78.032 %,  lr = 0.100
2020-11-27 23:49:08,386   Finished training it 14336/613937 of epoch 0, -1.00 ms/it, loss 0.473765, accuracy 77.782 %,  lr = 0.100
2020-11-27 23:49:20,099   Finished training it 15360/613937 of epoch 0, -1.00 ms/it, loss 0.477324, accuracy 77.635 %,  lr = 0.100
2020-11-27 23:49:31,113   Finished training it 16384/613937 of epoch 0, -1.00 ms/it, loss 0.471952, accuracy 78.119 %,  lr = 0.100
2020-11-27 23:49:43,020   Finished training it 17408/613937 of epoch 0, -1.00 ms/it, loss 0.474366, accuracy 77.954 %,  lr = 0.100
2020-11-27 23:49:55,623   Finished training it 18432/613937 of epoch 0, -1.00 ms/it, loss 0.469934, accuracy 78.084 %,  lr = 0.100
2020-11-27 23:50:07,564   Finished training it 19456/613937 of epoch 0, -1.00 ms/it, loss 0.468877, accuracy 78.156 %,  lr = 0.100
2020-11-27 23:50:20,149   Finished training it 20480/613937 of epoch 0, -1.00 ms/it, loss 0.471902, accuracy 77.754 %,  lr = 0.100
2020-11-27 23:50:32,440   Finished training it 21504/613937 of epoch 0, -1.00 ms/it, loss 0.468316, accuracy 78.162 %,  lr = 0.100
2020-11-27 23:50:44,451   Finished training it 22528/613937 of epoch 0, -1.00 ms/it, loss 0.470159, accuracy 78.099 %,  lr = 0.100
2020-11-27 23:50:57,299   Finished training it 23552/613937 of epoch 0, -1.00 ms/it, loss 0.463139, accuracy 78.421 %,  lr = 0.100
2020-11-27 23:51:10,237   Finished training it 24576/613937 of epoch 0, -1.00 ms/it, loss 0.466880, accuracy 78.375 %,  lr = 0.100
2020-11-27 23:51:22,151   Finished training it 25600/613937 of epoch 0, -1.00 ms/it, loss 0.471838, accuracy 78.087 %,  lr = 0.100
2020-11-27 23:51:34,926   Finished training it 26624/613937 of epoch 0, -1.00 ms/it, loss 0.469541, accuracy 78.067 %,  lr = 0.100
2020-11-27 23:51:47,243   Finished training it 27648/613937 of epoch 0, -1.00 ms/it, loss 0.466698, accuracy 78.285 %,  lr = 0.100
2020-11-27 23:51:59,760   Finished training it 28672/613937 of epoch 0, -1.00 ms/it, loss 0.467921, accuracy 78.148 %,  lr = 0.100
2020-11-27 23:52:11,925   Finished training it 29696/613937 of epoch 0, -1.00 ms/it, loss 0.467525, accuracy 78.032 %,  lr = 0.100
2020-11-27 23:52:24,006   Finished training it 30720/613937 of epoch 0, -1.00 ms/it, loss 0.463410, accuracy 78.490 %,  lr = 0.100
2020-11-27 23:52:36,766   Finished training it 31744/613937 of epoch 0, -1.00 ms/it, loss 0.465188, accuracy 78.299 %,  lr = 0.100
2020-11-27 23:52:49,648   Finished training it 32768/613937 of epoch 0, -1.00 ms/it, loss 0.465992, accuracy 78.232 %,  lr = 0.100
